,title,author,publisher,res_page,PNLedition,age_recom,theme,1st_author,other_authors
0,Trilogia As memórias da águia e do jaguar,Isabel Allende ; trad. Maria Helena Pitta,"Porto : Porto Editora, 2022-",1,2020 - 1.º Sem.,15 - 18 anos,Literatura,Isabel Allende , trad. Maria Helena Pitta
1,As mais belas coisas do mundo,Valter Hugo Mãe ; arte de Nino Cais,"Porto : Porto Ed., 2021",1,2020 - 1.º Sem.,15 - 18 anos,Literatura,Valter Hugo Mãe , arte de Nino Cais
2,Razões para ler : voltando a falar de metáforas,"Isabel Peixeiro, Margarida Fonseca Santos, Rosário Padinha Ribeiro","Alcabideche : Nósnalinha, 2020",1,2020 - 1.º Sem.,15 - 18 anos,Literatura,"Isabel Peixeiro, Margarida Fonseca Santos, Rosário Padinha Ribeiro",
3,Chuva miúda,Luis Landero ; trad. Miguel Filipe Mochila,"Porto : Porto Ed., 2020",1,2020 - 1.º Sem.,15 - 18 anos,Literatura,Luis Landero , trad. Miguel Filipe Mochila
4,Uma família inglesa : cenas da vida do Porto,Júlio Dinis,"Porto : Livros do Brasil, 2020",1,2020 - 1.º Sem.,15 - 18 anos,Literatura,Júlio Dinis,
5,As literaturas em língua portuguesa : (das origens aos nossos dias),José Carlos Seabra Pereira ; pref. Carlos Ascenso André,"Lisboa : Gradiva, 2020",1,2020 - 1.º Sem.,15 - 18 anos,Literatura,José Carlos Seabra Pereira , pref. Carlos Ascenso André
6,Razões para ler : as metáforas e o seu poder,"Isabel Peixeiro, Margarida Fonseca Santos, Rosário Padinha Ribeiro","Alcabideche : Nósnalinha, 2020",1,2020 - 1.º Sem.,15 - 18 anos,Literatura,"Isabel Peixeiro, Margarida Fonseca Santos, Rosário Padinha Ribeiro",
7,O velho expresso da Patagónia,Paul Theroux ; trad. Nuno Guerreiro Josué,ISBN: 978-989-722-653-3,1,2020 - 1.º Sem.,15 - 18 anos,Literatura,Paul Theroux , trad. Nuno Guerreiro Josué
8,Léxico da luz e da escuridão,Simon Stranger ; trad. João Reis,"Lisboa : Quetzal, 2020",1,2020 - 1.º Sem.,15 - 18 anos,Literatura,Simon Stranger , trad. João Reis
9,A maravilhosa viagem de Nils Holgersson através da Suécia,Selma Lagerlöf ; trad. João Reis ; il. Bertil Lybeck,"Porto : Sextante, 2020",1,2020 - 1.º Sem.,15 - 18 anos,Literatura,Selma Lagerlöf , trad. João Reis ; il. Bertil Lybeck
10,A mensagem,Mai Jia ; trad. Cristina Rodriguez e Artur Guerra,"Lisboa : Quetzal, 2020",1,2020 - 1.º Sem.,15 - 18 anos,Literatura,Mai Jia , trad. Cristina Rodriguez e Artur Guerra
11,A história de uma serva : novela gráfica,arte e adap. Renée Nault ; [baseado na obra de Margaret Atwood] ; trad. Rosa Amorim,"Lisboa : Bertrand, 2020",1,2020 - 1.º Sem.,15 - 18 anos,Literatura,arte e adap. Renée Nault , [baseado na obra de Margaret Atwood] ; trad. Rosa Amorim
12,O romance de Amadis,reconstituído por Afonso Lopes Vieira ; il. Aurélie de Sousa,"Porto : Porto Ed., 2020",1,2020 - 1.º Sem.,15 - 18 anos,Literatura,reconstituído por Afonso Lopes Vieira , il. Aurélie de Sousa
13,Lisboa Reykjavík,Yrsa Sigurbardóttir ; trad. Miguel Freitas da Costa,"Lisboa : Quetzal, 2020",1,2020 - 1.º Sem.,15 - 18 anos,Literatura,Yrsa Sigurbardóttir , trad. Miguel Freitas da Costa
14,Os tempos do ódio,Rosa Montero ; trad. Helena Pitta,"Porto : Porto Ed., 2020",1,2020 - 1.º Sem.,15 - 18 anos,Literatura,Rosa Montero , trad. Helena Pitta
15,Os informadores,Juan Gabriel Vásquez ; trad. Hugo Gonçalves,"Lisboa : Alfaguara, 2020",1,2020 - 1.º Sem.,15 - 18 anos,Literatura,Juan Gabriel Vásquez , trad. Hugo Gonçalves
16,Em breve,Morris Gleitzman ; trad. Dulce Afonso,"Amadora : Fábula, 2020",1,2020 - 1.º Sem.,15 - 18 anos,Literatura,Morris Gleitzman , trad. Dulce Afonso
17,O amigo do deserto,Pablo d'Ors ; trad. Cristina Rodriguez e Artur Guerra,"Lisboa : Quetzal, 2019",1,2020 - 1.º Sem.,15 - 18 anos,Literatura,Pablo d'Ors , trad. Cristina Rodriguez e Artur Guerra
18,Que ninguém durma,Juan José Millás ; trad. Jorge Pereirinha Pires,"Lisboa : Planeta, 2019",1,2020 - 1.º Sem.,15 - 18 anos,Literatura,Juan José Millás , trad. Jorge Pereirinha Pires
19,A balada do medo,Norberto Morais,ISBN: 978-989-641-943-1,1,2020 - 1.º Sem.,15 - 18 anos,Literatura,Norberto Morais,
20,Édipo,concebido e escrito por Lucy Ferry ; guião Clotilde Bruneau ; dir. artística e story-board Didier Poli ; des. Diego Oddi ; trad. Maria de Fátima Carmo,"Lisboa : Gradiva, 2020",2,2020 - 1.º Sem.,15 - 18 anos,Literatura,concebido e escrito por Lucy Ferry , guião Clotilde Bruneau ; dir. artística e story-board Didier Poli ; des. Diego Oddi ; trad. Maria de Fátima Carmo
21,Ficção completa,Voltaire ; trad. de Alexandre Pinheiro Torres... [et al.],"Silveira : E-Primatur, 2019",2,2020 - 1.º Sem.,15 - 18 anos,Literatura,Voltaire , trad. de Alexandre Pinheiro Torres... [et al.]
22,"A paixão do jardineiro ; Neo, três painéis de apocalipse",Jean-Pierre Sarrazac ; trad. Isabel Lopes,"Lajes do Pico : Companhia das Ilhas, 2019",2,2020 - 1.º Sem.,15 - 18 anos,Literatura,Jean-Pierre Sarrazac , trad. Isabel Lopes
