,title,author,publisher,res_page,PNLedition,age_recom,theme,1st_author,other_authors
0,Pardalita,Joana Estrela,"Carcavelos : Planeta Tangerina, 2021",1,2021 - 2.o Sem.,15 - 18 anos,Literatura,Joana Estrela,
1,Prosa,Sophia de Mello Breyner Andersen ; pref. Carlos Mendes de Sousa,"Porto : Assírio & Alvim, 2021",1,2021 - 2.o Sem.,15 - 18 anos,Literatura,Sophia de Mello Breyner Andersen , pref. Carlos Mendes de Sousa
2,A vida nova de Dante Alighieri,trad. Vasco Graça Moura,ISBN: 978-989-722-772-1,1,2021 - 2.o Sem.,15 - 18 anos,Literatura,trad. Vasco Graça Moura,
3,Esteiros,Soeiro Pereira Gomes,"Lisboa : Quetzal, 2021",1,2021 - 2.o Sem.,15 - 18 anos,Literatura,Soeiro Pereira Gomes,
4,O livro dos seres imaginários,"Jorge Luis Borges com Margarita Guerrero ; trad. Cristina Rodriguez, Artur Guerra","Lisboa : Quetzal, 2021",1,2021 - 2.o Sem.,15 - 18 anos,Literatura,Jorge Luis Borges com Margarita Guerrero ," trad. Cristina Rodriguez, Artur Guerra"
5,O livro da piedade e da morte,Pierre Loti ; trad. Diogo Paiva,"Porto : Assírio & Alvim, 2021",1,2021 - 2.o Sem.,15 - 18 anos,Literatura,Pierre Loti , trad. Diogo Paiva
6,Sexta feira,"Cláudia Dias, António Jorge Gonçalves","Lisboa : Teatro Nacional Dona Maria II : Alkantara, 2021",1,2021 - 2.o Sem.,15 - 18 anos,Literatura,"Cláudia Dias, António Jorge Gonçalves",
7,Juntos,texto de Marianne Laidlaw ; il. Luke Adam Hawker ; trad. Valter Hugo Mãe,"Porto : Porto Ed., 2021",1,2021 - 2.o Sem.,15 - 18 anos,Literatura,texto de Marianne Laidlaw , il. Luke Adam Hawker ; trad. Valter Hugo Mãe
8,"Conta-me, escuridão",Mafalda Santos ; il. David Benasulin ; pref. Fernando Ribeiro,"Lisboa : Suma, 2021",1,2021 - 2.o Sem.,15 - 18 anos,Literatura,Mafalda Santos , il. David Benasulin ; pref. Fernando Ribeiro
9,O deserto dos Tártaros,Dino Buzzati ; trad. do italiano Margarida Periquito,"Lisboa : Cavalo de Ferro, 2021",1,2021 - 2.o Sem.,15 - 18 anos,Literatura,Dino Buzzati , trad. do italiano Margarida Periquito
10,Para quê tudo isto? : biografia de Manuel António Pina,Álvaro Magalhães,"Lisboa : Contraponto, 2021",1,2021 - 2.o Sem.,15 - 18 anos,Literatura,Álvaro Magalhães,
11,Sétimo dia,Daniel Faria ; ed. Francisco Saraiva Fino,"[S.l.] : Assírio e Alvim, 2021",1,2021 - 2.o Sem.,15 - 18 anos,Literatura,Daniel Faria , ed. Francisco Saraiva Fino
