,title,author,publisher,res_page,PNLedition,age_recom,theme,1st_author,other_authors
0,Espreita a história de Portugal,José Jorge Letria ; il. Vítor Lopes,"Porto : Porto Ed., 2021",1,Antes 2017,9 - 11 anos,Literatura,José Jorge Letria , il. Vítor Lopes
1,História de um caracol que descobriu a importância da lentidão,Luis Sepúlveda ; il. de Paulo Galindro ; trad. de Helena Pitta,"Porto : Porto Ed., 2021",1,Antes 2017,9 - 11 anos,Literatura,Luis Sepúlveda , il. de Paulo Galindro ; trad. de Helena Pitta
2,A árvore,Sophia de Mello Breyner Andresen ; il. Teresa Lima,"Porto : Porto Ed., 2021",1,Antes 2017,9 - 11 anos,Literatura,Sophia de Mello Breyner Andresen , il. Teresa Lima
3,História de um gato e de um rato que se tornaram amigos,Luis Sepúlveda ; il. Paulo Galindro ; trad. Helena Pitta,"Lisboa : Porto Ed., 2021",1,Antes 2017,9 - 11 anos,Literatura,Luis Sepúlveda , il. Paulo Galindro ; trad. Helena Pitta
4,História com recadinho,Luísa Dacosta ; il. Cristina Valadas,"Alfragide : Asa II, 2021",1,Antes 2017,9 - 11 anos,Literatura,Luísa Dacosta , il. Cristina Valadas
5,História de um caracol que descobriu a importância da lentidão,Luis Sepúlveda ; il. de Paulo Galindro ; trad. de Helena Pitta,"Porto : Porto Ed., 2020",1,Antes 2017,9 - 11 anos,Literatura,Luis Sepúlveda , il. de Paulo Galindro ; trad. de Helena Pitta
6,Fábulas,Jean de La Fontaine ; il. Philippe Salembier ; trad. e adapt. Maria da Conceição Tavares,Porto : Civilização 2010,1,Antes 2017,9 - 11 anos,Literatura,Jean de La Fontaine , il. Philippe Salembier ; trad. e adapt. Maria da Conceição Tavares
7,Contos para rir,Luísa Ducla Soares ; il. Rui Pedro Lourenço,"Porto : Porto Ed., 2020",1,Antes 2017,9 - 11 anos,Literatura,Luísa Ducla Soares , il. Rui Pedro Lourenço
8,A maior flor do mundo,José Saramago ; il. André Letria,"Porto : Porto Ed., 2020",1,Antes 2017,9 - 11 anos,Literatura,José Saramago , il. André Letria
9,Para onde vamos quando desaparecemos?,Isabel Minhós Martins ; il. Madalena Matoso,"Carcavelos : Planeta Tangerina, 2020",1,Antes 2017,9 - 11 anos,Literatura,Isabel Minhós Martins , il. Madalena Matoso
10,O dicionário do menino Andersen,Gonçalo M. Tavares ; il. Madalena Matoso,"Carcavelos : Planeta Tangerina, 2020",1,Antes 2017,9 - 11 anos,Literatura,Gonçalo M. Tavares , il. Madalena Matoso
11,28 histórias para rir,Ursula Wölfel ; il. João Vaz de Carvalho,"Matosinhos : Kalandraka, 2020",1,Antes 2017,9 - 11 anos,Literatura,Ursula Wölfel , il. João Vaz de Carvalho
12,Contos da infância e do lar,"Irmãos Grimm ; trad., introd. e notas de Teresa Aica Bairos ; coord. cient. Francisco Vaz da Silva","Lisboa : Temas e Debates : Círculo de Leitores, 2020",1,Antes 2017,9 - 11 anos,Literatura,Irmãos Grimm ," trad., introd. e notas de Teresa Aica Bairos ; coord. cient. Francisco Vaz da Silva"
13,Seleção de contos para a infância,Guerra Junqueiro ; il. Luciana Bicalho,"Porto : Porto Ed., 2020",1,Antes 2017,9 - 11 anos,Literatura,Guerra Junqueiro , il. Luciana Bicalho
14,As crónicas de Nárnia,C. S. Lewis ; il. Pauline Baynes ; trad. Ana Falcão Bastos,"Lisboa : Presença, [202-?]-     ",1,Antes 2017,9 - 11 anos,Literatura,C. S. Lewis , il. Pauline Baynes ; trad. Ana Falcão Bastos
15,Uma aventura nas ilhas de Cabo Verde,"Ana Maria Magalhães, Isabel Alçada ; il. Arlindo Fagundes","Alfragide : Caminho, imp. 2019",1,Antes 2017,9 - 11 anos,Literatura,"Ana Maria Magalhães, Isabel Alçada ", il. Arlindo Fagundes
16,Burros,Adelheid Dahimène ; il. Heide Stollinger ; trad. Sophie Luisa Fechner,"Lisboa : Orfeu Negro, 2019",1,Antes 2017,9 - 11 anos,Literatura,Adelheid Dahimène , il. Heide Stollinger ; trad. Sophie Luisa Fechner
17,O príncipe nabo,Ilse Losa ; il. Manuela Bacelar,"Porto : Afrontamento, 2017",1,Antes 2017,9 - 11 anos,Literatura,Ilse Losa , il. Manuela Bacelar
18,Espreita a história de Portugal,José Jorge Letria ; il. Vítor Lopes,"Porto : Porto Ed., 2019",1,Antes 2017,9 - 11 anos,Literatura,José Jorge Letria , il. Vítor Lopes
19,Saudade : um conto para sete dias,texto Claudio Hochman ; il. João Vaz de Carvalho,"Lisboa : Livros Horizonte, 2019",1,Antes 2017,9 - 11 anos,Literatura,texto Claudio Hochman , il. João Vaz de Carvalho
20,O espantalho enamorado,uma história de Guido Visconti ; il. por Giovanna Osellame ; trad. Manuela Pessoa,"Lisboa Livros Horizonte, cop. 2019",2,Antes 2017,9 - 11 anos,Literatura,uma história de Guido Visconti , il. por Giovanna Osellame ; trad. Manuela Pessoa
21,História de um gato e de um rato que se tornaram amigos,Luis Sepúlveda ; il. Paulo Galindro ; trad. Helena Pitta,"Lisboa : Porto Ed., 2019",2,Antes 2017,9 - 11 anos,Literatura,Luis Sepúlveda , il. Paulo Galindro ; trad. Helena Pitta
22,O segundo ano no Colégio das Quatro Torres,Enid Blyton ; trad. Susana Ferreira e Bárbara Soares,"Alfragide : Oficina do Livro, 2019",2,Antes 2017,9 - 11 anos,Literatura,Enid Blyton , trad. Susana Ferreira e Bárbara Soares
23,Seis histórias às avessas,Luísa Ducla Soares ; il. Aurélie de Sousa,"Porto : Porto Ed., 2015",2,Antes 2017,9 - 11 anos,Literatura,Luísa Ducla Soares , il. Aurélie de Sousa
24,Se os animais escolhessem a sua nacionalidade = What if animals could choose their nationality,Alice Cardoso ; il. Cátia Vide ; trad. Isabel Sofia Calvario Correia,"Coimbra : Câmara Municipal : Recortar Palavras, 2019",2,Antes 2017,9 - 11 anos,Literatura,Alice Cardoso , il. Cátia Vide ; trad. Isabel Sofia Calvario Correia
25,História de um caracol que descobriu a importância da lentidão,Luis Sepúlveda ; il. de Paulo Galindro ; trad. de Helena Pitta,"Porto : Porto Ed., 2019",2,Antes 2017,9 - 11 anos,Literatura,Luis Sepúlveda , il. de Paulo Galindro ; trad. de Helena Pitta
26,Greve,texto e il. Catarina Sobral,"Lisboa : Orfeu Negro, 2019",2,Antes 2017,9 - 11 anos,Literatura,texto e il. Catarina Sobral,
27,O principezinho,Antoine de Saint-Exupéry ; trad. de Ana Cunha Ribeiro,"Lisboa : 11x17, 2018",2,Antes 2017,9 - 11 anos,Literatura,Antoine de Saint-Exupéry , trad. de Ana Cunha Ribeiro
28,Contos para rir,Luísa Ducla Soares ; il. Rui Pedro Lourenço,"Porto : Porto Ed., 2018",2,Antes 2017,9 - 11 anos,Literatura,Luísa Ducla Soares , il. Rui Pedro Lourenço
29,O segredo do rio,Miguel Sousa Tavares ; il. de Fernanda Fragateiro,"Lisboa : Clube do Autor, imp. 2018",2,Antes 2017,9 - 11 anos,Literatura,Miguel Sousa Tavares , il. de Fernanda Fragateiro
30,O beijo da palavrinha,escreveu Mia Couto ; il. Danuta Wojciechowska,"Alfragide : Caminho, 2018",2,Antes 2017,9 - 11 anos,Literatura,escreveu Mia Couto , il. Danuta Wojciechowska
31,Não fiz os trabalhos de casa porque...,Davide Cali ; il. Benjamin Chaud ; adapt. do lettering Catarina Sobral ; trad. Rui Lopes,"Lisboa : Orfeu Negro, 2018",2,Antes 2017,9 - 11 anos,Literatura,Davide Cali , il. Benjamin Chaud ; adapt. do lettering Catarina Sobral ; trad. Rui Lopes
32,Espreita a história de Portugal,José Jorge Letria ; il. Vítor Lopes,"Porto : Porto Ed., 2018",2,Antes 2017,9 - 11 anos,Literatura,José Jorge Letria , il. Vítor Lopes
33,Amigos do peito,Cláudio Thebas ; il. Violeta Lópiz,"Figueira da Foz : Bruaá, 2018",2,Antes 2017,9 - 11 anos,Literatura,Cláudio Thebas , il. Violeta Lópiz
34,No labirinto do minotauro,"Ana Soares, Bárbara Wong","Carnaxide : Alfaguara, 2018",2,Antes 2017,9 - 11 anos,Literatura,"Ana Soares, Bárbara Wong",
35,História de um gato e de um rato que se tornaram amigos,Luis Sepúlveda ; il. Paulo Galindro ; trad. Helena Pitta,"Lisboa : Porto Ed., 2018",2,Antes 2017,9 - 11 anos,Literatura,Luis Sepúlveda , il. Paulo Galindro ; trad. Helena Pitta
