,title,author,publisher,res_page,PNLedition,age_recom,theme,1st_author,other_authors
0,Tímidos,Simona Ciraolo ; trad. Rui Lopes,"Lisboa : Orfeu Negro, 2021",1,2021 - 1.o Sem.,6 - 8 anos,Literatura,Simona Ciraolo , trad. Rui Lopes
1,Sid,texto e il. Jez Alborough ; trad. Ana Margarida Biscoito,ISBN: 978-989-54728-8-8,1,2021 - 1.o Sem.,6 - 8 anos,Literatura,texto e il. Jez Alborough , trad. Ana Margarida Biscoito
2,"Tão pequenina, tão grande",texto Maria João Lopes ; il. Maria Remédio,"[S.l.] : Máquina de Voar, 2021",1,2021 - 1.o Sem.,6 - 8 anos,Literatura,texto Maria João Lopes , il. Maria Remédio
3,O Jaime no casamento,Jessica Love ; trad. Susana Cardoso Ferreira,"Amadora : Fábula, 2021",1,2021 - 1.o Sem.,6 - 8 anos,Literatura,Jessica Love , trad. Susana Cardoso Ferreira
4,Se o mundo inteiro fosse feito de memórias,Joseph Coelho ; il. Allison Colpoys ; trad. Susana Cardoso Ferreira,"Amadora : Fábula, 2021",1,2021 - 1.o Sem.,6 - 8 anos,Literatura,Joseph Coelho , il. Allison Colpoys ; trad. Susana Cardoso Ferreira
5,Ser pequeno na cidade,texto e il. Sydney Smith ; trad. Susana Cardoso Ferreira,"Amadora : Fábula, 2021",1,2021 - 1.o Sem.,6 - 8 anos,Literatura,texto e il. Sydney Smith , trad. Susana Cardoso Ferreira
6,A mensagem secreta de aniversário,Eric Carle ; trad. Ana M. Noronha,"Matosinhos : Kalandraka, 2021",1,2021 - 1.o Sem.,6 - 8 anos,Literatura,Eric Carle , trad. Ana M. Noronha
7,Que confusão!,texto Pippa Goodhart ; il. Emily Rand ; trad. Susana Cardoso Ferreira,"Amadora : Fábula, 2021",1,2021 - 1.o Sem.,6 - 8 anos,Literatura,texto Pippa Goodhart , il. Emily Rand ; trad. Susana Cardoso Ferreira
8,O destino de Fausto : uma fábula ilustrada de,Oliver Jeffers ; trad. Rui Lopes,"Lisboa : Orfeu Negro, 2021",1,2021 - 1.o Sem.,6 - 8 anos,Literatura,Oliver Jeffers , trad. Rui Lopes
9,Por qué lloramos?,texto de Fran Pintadera ; il. de Ana Sender,"Barcelona : Akiara Books, 2021",1,2021 - 1.o Sem.,6 - 8 anos,Literatura,texto de Fran Pintadera , il. de Ana Sender
10,Que ossos curiosos!,Janet  & Allan  Ahlberg ; trad. Carla Maia de Almeida,"Matosinhos : Kaladraka, 2021",1,2021 - 1.o Sem.,6 - 8 anos,Literatura,Janet  & Allan  Ahlberg , trad. Carla Maia de Almeida
11,"Abril, o peixe vermelho",Marjolaine Leray ; trad. Maria Afonso,"Lisboa : Orfeu Negro, 2021",1,2021 - 1.o Sem.,6 - 8 anos,Literatura,Marjolaine Leray , trad. Maria Afonso
12,Tu e Eu e Todos,texto Maria-Elisabeth Niebius ; il. e design Marcos Farina ; trad. Carla Oliveira,"Lisboa : Orfeu Negro, 2021",1,2021 - 1.o Sem.,6 - 8 anos,Literatura,texto Maria-Elisabeth Niebius , il. e design Marcos Farina ; trad. Carla Oliveira
13,Se algum dia vieres à terra,Sophie Blackall ; trad. Susana Cardoso Ferreira,"Amadora : Fábula, 2021",1,2021 - 1.o Sem.,6 - 8 anos,Literatura,Sophie Blackall , trad. Susana Cardoso Ferreira
14,Na fila para a arca,Antonis Papatheodoulou ; il. Iris Samartzi ; trad. Elisabete Ramos,"Matosinhos : Kalandraka, 2021",1,2021 - 1.o Sem.,6 - 8 anos,Literatura,Antonis Papatheodoulou , il. Iris Samartzi ; trad. Elisabete Ramos
15,O jardim,texto e il. Anna Walker ; trad. Susana Cardoso Ferreira  ,ISBN: 978-989-564-455-1,1,2021 - 1.o Sem.,6 - 8 anos,Literatura,texto e il. Anna Walker , trad. Susana Cardoso Ferreira  
