,author
223,"Eugenio Carmi, Umberto Eco "
224,Johanna Schaible  
225,adapt. e argum. Philippe Chanoinat e Djian 
226,James Norbury 
227,Alice Oseman 
228,texto de Marianne Laidlaw 
229,por Carlos Ascenso André 
230,Lurdes Breda il. Tânia Clímaco
231,Geremias Mendoso 
232,Mafalda Moutinho 
233,Sérgio Almeida 
234,Alfredo Behrens 
235,"Scott Cawthon, Kira Breed-Wrisley "
236,adapt. e argum. des. e cores Chrys Millien 
237,Emilio Salgari 
238,"Pedro Pereira Lopes, Chico António "
239,Rafo Díaz 
240,José Fanha 
241,Michael Ende 
242,escrito e il. Rob Biddulph 
243,David Machado 
244,Anete Melece 
245,Antoine de Saint-Exupéry 
246,António Torrado 
247,Sosuke Natsukawa 
248,Marion Zimmer Bradley 
249,João de Mancelos
250,Kenji Miyazawa 
251,Ana Ferreira da Silva
252,Hélia Correia
253,Jon Klassen 
254,Sara Albuquerque 
255,Arthur C. Clarke 
256,Lev Tolstoi 
257,Rick Riordan 
258,Washington Irving 
259,texto João Paulo Cotrim 
260,Fernando Assis Pacheco 
261,Jack Meggitt-Phillips 
262,Jason Platt 
263,Lurdes Breda 
264,Aquilino Ribeiro 
265,Harriet Beecher Stowe 
266,L. Frank Baum 
267,António Garcia Barreto 
268,Jairo Aníbal Niño 
269,Italo Calvino 
270,Maria Teresa Maia Gonzalez
271,Pearl S. Buck 
272,"Mariko Tamaki, Jillian Tamaki "
273,Tim Bowler 
274,Selma Lagerlof 
275,Paula Carballeira 
276,Machado de Assis 
277,Eça de Queiroz 
278,trad. Elsa T. S. Vieira
279,Luísa Costa Gomes 
280,Albert Camus 
281,John Boyne 
282,Alice Vieira
283,Art Spiegelman 
284,Almeida Garrett 
285,Jorge Amado 
286,Homero 
287,José Mauro de Vasconcelos 
288,adapt. de Amélia Pinto Pais
289,texto de Adélia Carvalho 
290,Alexandre Hercuano 
291,por Frederico Lourenço 
292,Leon Leyson com Marilyn J. Harran e Elizabeth B. Leyson 
293,José Saramago 
294,Gabriel García Márquez 
295,por Alexandre Herculano 
296,Vasco Graça Moura
297,Maria Alberta Menéres 
298,Malala Yousafzai com Christina Lamb 
