,author
1032,Maria Teresa Maia Gonzalez 
1033,Ingrid Chabbert 
1034,David McKee 
1035,E. E. Cummings 
1036,Edite Costa Matos 
1037,Jen Campbell 
1038,texto de Ana Ventura 
1039,Adolfo Coelho 
1040,João Cunha Silva 
1041,Andrea Beaty 
1042,texto Alastair Reid 
1043,David Litchfield 
1044,Fábio Monteiro 
1045,Nicola Davies 
1046,"Mark Twain, Philip Stead "
1047,texto de José Jorge Letria 
1048,Kjell Ringi
1049,escrito por Brittany Rubiano 
1050,texto e il. Yara Kono
1051,Mafalda Bernardes da Silva 
1052,um susto contado por Clara Cunha 
1053,Francesca Sanna 
1054,Luís Correia Carmelo 
1055,"John Kelly, Steph Laberis "
1056,texto de Adam Rubin 
1057,"Tracey Corderoy, Tony Neal "
1058,Valerie Thomas e Korky Paul 
1059,Rita Cardoso 
1060,Rachel Bright 
1061,escrito e il. por Judith Kerr 
1062,Carmen Chica 
1063,João Paulo Cotrim 
1064,Lara Xavier 
1065,"Alexandre Lobão, Rachel Caiano"
1066,"Luísa Ducla Soares, João Vaz de Carvalho"
1067,Ana Amaral... [et al.] 
1068,Carmen Zita Ferreira 
1069,texto Francisca Prieto 
1070,Susa Monteiro
1071,Marcus Oakley
1072,Emily Gribbitt 
1073,Pedro Salvador Mendes
1074,Elizabete Neves 
1075,texto Claudio Hochman 
1076,Manuela Guaccio 
1077,texto e il. Isol 
1078,"história, caligrafia e selos Wang Fei "
1079,Joan Negrescolor 
1080,André Rodrigues... [et al.]
1081,Eva Eland 
1082,texto Isabel Minhós Martins 
1083,Ana Lázaro 
1084,texto e il. Akiko Miyakoshi 
1085,Joseph Kuefler 
1086,texto e il. Bernardo P. Carvalho
1087,Cristina Sitja Rubio 
1088,Pedro Mañas 
1089,texto Carlos Fiolhais 
1090,Vanda Borges Gonçalves 
1091,Benji Davies 
1092,Milu Loureiro
1093,escrito e il. Maurice Sendak 
1094,Mac Barnett 
1095,Davide Cali 
1096,Pitum Keil do Amaral 
1097,texto Helder Moura Pereira 
1098,texto Veronica Salinas 
1099,Filipa Sáragga 
1100,Fran Pintadera 
1101,Marianna Coppo 
1102,"adapt. Xosé Ballesteros, a partir do texto de Robert Southey "
1103,texto e il. Romana Romanyshyn e  Andriy Lesiv 
1104,Corina Luyken 
1105,adapt. para a língua portuguesa Rita Amaral
1106,Philippe Jalbert 
1107,"Luísa Ducla Soares, Daniel Completo, José Fanha "
1108,Alexandre Parafita 
1109,Julieta Aurora Santos
1110,poemas Luísa Ducla Soares 
1111,textos de Manuel António Pina 
1112,Chris Haughton 
1113,Todd Parr 
1114,Ana Luísa Amaral 
1115,Taro Gomi 
1116,Mac Barnett & Jon Klassen 
1117,texto e il. Rita Correia
1118,Frank Viva 
1119, texto e il. Kitty Crowther 
1120,Cristina Taquelim 
1121,Siv Widerberg... [et al.] 
1122,texto adapt. Miguel Gouveia 
1123,"Susanna Mattiangeli, Chiara Carrer "
1124,Mário Satz 
1125,Bernard Friot 
1126,Isaac Bashevis Singer 
1127,M.a Isabel Sánchez Vegara 
1128,texto e il. Corinna Luyken 
1129,Marcy Campbell 
1130,Mariann Máray
1131,J. M. Barrie 
1132,Max Velthuijs 
1133,texto e il. Chico Bolila
1134,texto de Jordi Amenós 
1135,Tony Ross 
1136,texto e il. Britta Teckentrup 
1137,Alex Nogués & Guridi 
1138,Margit Auer 
1139,Jessica Love 
1140,texto e il. Eduarda Lima
1141,adapt. Amy Steedman 
1142,Sophie Blackall 
1143,Rémi Courgeon 
1144,Ricardo Henriques e Nicolau
1145,Einat Tsarfati 
1146,José Maria Vieira Mendes 
1147,texto Kobi Yamada 
1148,Jon Agee 
1149,Anna LLenas 
1150,Emily Rand 
1151,Alison Jay 
1152,Olga de Dios 
1153,"Germano Zullo, Albertine "
1154,Patrícia Martins 
1155,texto Kisten Hall 
1156,Christian Robinson
1157,texto e il. de Trace Moroney
1158,"Davide Cali, Serge Bloch "
1159,Inês Almeida e Nicholas Carvalho
1160,"Eoin McLaughlin, Polly Dunbar "
1161,Gonçalo Viana
1162,Olivier Gay 
1163,Canizales 
1164,Ryan T. Higgins 
1165,texto de Clara Cunha 
1166,João Pedro Mésseder e Rachel Caiano
1167,texto e il. Madalena Moniz
1168,Dora Batalim 
1169,Roger Hargreaves
1170,"Rita Taborda Duarte, Rachel Caiano"
1171,"Inês Pupo, Gonçalo Pratas "
1172,Linda Sarah 
1173,Aurora Ruá 
1174,texto Rui Zink 
1175,texto Sophie Gourion 
1176,Arree Chung
1177,"Steve Smallman, Joëlle Dreidemy "
1178,Giovanna Mantegazza 
1179,texto e il. Matthew Forsythe 
1180,Dav Pilkey 
1181,Nuppita Pittman 
1182,"Roxane Marie Galliez, Seng Soun Ratanavanh "
1183,Avalon Nuovo 
1184,Christian Robinson 
1185,Maria Inês Almeida 
1186,texto e il. Joana Estrela
1187,Satoshi Kitamura 
1188,texto Joana Barrelas 
1189,André Madaleno 
1190,texto e il. Heath Mckenzie 
1191,Marie-Louise Gay 
1192,escrito e il. por Nicola O'Byrne 
1193,Pam Adams
1194,Simona Ciraolo 
1195,texto e il. Jez Alborough 
1196,texto Maria João Lopes 
1197,Joseph Coelho 
1198,texto e il. Sydney Smith 
1199,Eric Carle 
1200,texto Pippa Goodhart 
1201,Janet  & Allan  Ahlberg 
1202,Marjolaine Leray 
1203,texto Maria-Elisabeth Niebius 
1204,Antonis Papatheodoulou 
1205,texto e il. Anna Walker 
1206,Anthony Browne 
1207,Blandina Franco e José Carlos Lollo  
1208,texto Manuela Castro Neves 
1209,il. Jaime Ferraz
1210,"Christian Jolibois, Christian Heinrich "
1211,Jonny Duddle 
1212,texto e il. Barbara Cantini 
1213,Christian Voltz 
1214,Elisenda Roca 
1215,texto e il. Anna LLenas 
1216,texto de José António Abad Varela 
1217,Georgiana Deutsch 
1218,"texto, il. Bolota"
1219,texto Mar Benegas 
1220,texto e il. Heath McKenzie 
1221,Emma Chichester Clark 
1222,poemas ditos Cristina Paiva
1223,texto e Il. Margarida Botelho 
1224,Marco Taylor
1225,Alex Milway 
1226,Tracey Corderoy 
1227,Jonatham Swift 
1228,texto e il. de Dorothée de Monfreid 
1229,António Avelar de Pinho 
1230,Emma Lidia Squillari 
1231,Mies Van Hout 
1232,Emma Yarlett 
1233,Halil Bárcena 
1234,Zoë Tucker 
1235,Dan Brown 
1236,"Marina Núñez, Avi Ofer "
1237,Tomie de Paola 
1238,Sarah Roberts 
1239,texto Mireia Vidal 
1240,um poema de Pere Martí i Bertran 
1241,Ricardo Alcántara 
1242,Júlio Isidro 
1243,texto de Gilda Nunes Barata 
1244,Alex Nogués & Guridi
1245,Amir-Alexandros Afendras
1246,Elina Ellis 
1247,Emily Gravett 
1248,Nicolás Buenaventura 
1249,texto e ilustração de Mo Willems 
1250,Jessica Meserve 
1251,il. de Quentin Blake 
1252,texto Cristina Taquelim 
1253,Ana Ventura
1254,"texto, il. Taro Miura "
1255,texto e il. Vanina Starkoff 
1256,Nuno Camarneiro 
1257,Ed Vere 
1258,Steve Small 
1259,Eoin McLaughlin 
1260,texto Richard Zimler 
1261,Günther Jakobs 
1262,"Céline Claire, Qing Leng "
1263,David Pintor
1264,Maria Celestina Fernandes... [et al.] 
1265,Ilse Losa 
1266,"Deborah Underwood, Cindy Derby "
1267,Joana M. Lopes 
1268,recolha e sel. dos textos Luísa Ducla Soares 
1269,Amy June Bates 
1270,"Christian Bruel, Anne Bozellec "
1271,Anna LLenas
1272,Maryann Cocca-Leffler  
1273,Kim Sena 
1274,"Davide Cali, Sébastien Mourrain "
1275,Maria João Freitas 
1276,texto e il. Nora Brech 
1277,texto e il. Icinori 
1278,escrito por Kobi Yamada 
1279,Kobi Yamada 
1280,"Catherine Grive, Frédérique Bertrand "
1281,escrito por Sam McBratney 
1282,"dir. artística e voz, Telma Pereira "
1283,Patrícia Furtado
1284,Clara Cunha 
1285,Vanessa Martins 
1286,Sílvia Alves 
1287,Rocio Bonilla 
1288,Tânia Bailão Lopes
1289,texto e il. Gemma Merino 
1290,Verónica Fabregat
1291,texto e il. Alexandre Rampazo 
1292,Meghan 
1293,"Rita Sineiro, Laia Doménech"
1294,texto e il. Guilherme Karsten
1295,Sidónio Muralha 
1296,texto e il. Oge Mora 
1297,Guojing
1298,texto e il. Rocio Bonilla 
1299,Isabel Mateus 
1300,Eduarda Lima
1301,texto e il. Ella Bailey 
1302,Jackie Azuá Kramer 
1303,Henrique Coser Moreira
1304,texto e il. Francesca Pirrone 
1305,Tom Percival 
1306,David Pintor 
1307,Cristina Falcón Maldonado 
1308,texto e il. Elina Ellis 
1309,Komako Sakai 
1310,Núria Parera 
1311,Luís Leal Miranda 
1312,texto Isabel Peixeiro 
1313,Katerina Gorelik 
1314,texto Trish Cooke 
1315,texto e il. Reza Dalvand 
1316,J. K. Rowling 
1317,Matilde de Oliveira 
1318,Julia Donaldson 
1319,Margarita Del Mazo 
1320,Stéphanie Blake 
1321,Luciano Lozano 
1322,"Amélie Antoine, Isabelle Maroger "
1323,"Loredana Baldinucci, Fabio Sardo"
1324,"Felicity Brooks, Frankie Allen "
1325, João Borges de Oliveira 
1326,Xan López Domínguez 
1327,Adolfo Ricardo 
1328,Sérgio Pelágio e Isabel Gaivão
1329,Maria Morais 
1330,recolha e selec. Luísa Ducla Soares 
1331,Manuela Mota Ribeiro 
1332,Drew Daywalt 
1333,Davide Cali e Serge Bloch 
1334,história contada por António Torrado 
1335,texto Joana Cabral 
1336,Michael Grejniec 
1337,sel. Luísa Ducla Soares 
1338,Bruno Magina 
1339,"Cristina Quental, Mariana Magalhães "
1340,Luísa Dacosta 
1341,"Steve Smallman, Caroline Pedler "
1342,Alves Redol 
1343,adapt. de Xosé Ballesteros 
1344,"Isabel Minhós Martins, Madalena Matoso"
1345,Elizabeth Shaw 
1346,texto de José Fanha 
1347,texto João Ferreira Oliveira 
1348,Manuela Castro Neves 
1349,Sara Rodi e Vânia Beliz 
1350,adapt. Eva Mejuto 
1351,Pedro Seromenho
1352,José Eduardo Agualusa 
1353,Papiniano Carlos 
1354,Pinto & Chinto 
1355,"Francisco Duarte Mangas, Madalena Moniz"
1356,história de António Torrado 
1357,texto e il. Miguel Cerro 
1358,"Isabel Minhós Martins, Yara Kono"
1359,"Luísa Ducla Soares, Manuela Bacelar"
1360,texto e il. Janosch 
1361,texto de Anna Casalis 
1362,texto Javier Sobrino 
1363,Maria Inês de Almeida 
1364,texto e il. Fernando Pérez Hernando 
1365,"Luísa Costa Gomes, "
1366,texto e il. Tomi Ungerer 
1367,adapt. de Manuela Rodríguez 
1368,texto José Fanha 
1369,texto e il. Ana Pez 
1370,trad. por Alice Vieira 
1371,escrito por Janey Louise Jones 
1372,"Ana Saldanha, Yara Kono"
1373,André Letria e José Jorge Letria
1374,B. J. Novak 
1375,textos José Jorge Letria 
1376,Soledade Martinho Costa
1377,de Oliver Jeffers 
1378,"Luísa Ducla Soares, Daniel Completo, Ana Cristina Completo"
1379,Sandol Stoddard 
1380,Lemony Snicket 
1381,texto António Torrado 
1382,Oli 
1383,Maria Antonieta Nabais 
1384,texto e il. David Wiesner 
1385,Maria Rosa Colaço 
1386,Susan Verde 
1387,Susana Campos 
1388,Alice Cardoso 
1389,Miguel Neto 
1390,Peter Bronw 
1391,Helena KraljiÄ  
1392,texto Carla Maia de Almeida 
1393,Nora Cavaco
1394,"Rui Reininho, Armando Teixeira, Marta Madureira"
1395,Jutta Bauer 
1396,Maria Lúcia Carvalhas 
1397,Adélia Carvalho 
1398,Susanna Isern 
1399,João Ferreira Oliveira 
1400,Tina Meroto 
1401,texto José Ignacio Bonavista 
1402,Anne Hofmann 
1403,Philip C. Stead 
1404,Albano Martins 
1405,recontado Richard Walker 
1406,história Beatrice Masini 
1407,história Margarida Fonseca Santos 
1408,Adela Turín 
1409,Antonio A. Gómez Yebra 
1410,texto João Miguel Tavares 
1411,Carlos Nogueira 
1412,Mariana Ruiz Johnson 
1413,escrito Sandol Stoddard 
1414,texto Chema Heras 
1415,"João Pedro Mésseder, Gabriela Sotto Mayor"
1416,texto e il. Anthony Browne 
1417,Adeline Yzac 
1418,texto de Carlos Nogueira 
1419,Palmira Martins 
1420,Ana Paula Rodrigues Silva Figueiredo & Pedro Emanuel Santo Ribeiro Figueiredo 
1421,Leo Timmers 
1422,texto Ana Saldanha 
1423,texto e il. Margarida Botelho
1424,Teresa Coutinho 
1425,Tatiana Salem Levy 
1426,[ed. lit.] Disney Enterprises
1427,Mário Castrim 
1428,escreveu João Manuel Ribeiro 
1429,"[ed. lit.] Disney Enterprises, Pixar"
1430,[ed. lit.] Disney
1431,texto Adélia Carvalho 
1432,reescrita e adapt. Margarida Braga 
1433,Tony Ross
1434,Gill Munton 
1435,texto Margarida Castel-Branco 
1436,Eric Many
1437,Carla Maia de Almeida e André Letria
1438,Isabel Ramalhete 
1439,Luisa Ducla Soares 
1440,Pep Bruno 
1441,Margarida Castel-Branco 
1442,Lane Smith
1443,Beatrice Alemagna 
1444,"Ramón Aragüés Peleato, "
1445,Daniela Kulot 
1446,Laura Ferreira Rodrigues 
1447,traditional folktale adapted by Olalla González 
1448,Ana Saldanha 
1449,texto adapt. Sarah Margaret Johanson 
1450,"textos, letras e músicas Margarida Fonseca Santos "
1451,texto Patrícia Reis  
1452,Pascal Biet 
1453,M. Conceição Galveia Ferreira 
1454,texto de Laurence Herbert 
1455,Béatrice Rodriguez
1456,written by Paul Shipton 
1457,texto Oli 
1458,Mick Manning e Brita Granström 
1459,Ana Fernández-Abascal 
1460,Sónia Fernandes 
1461,Maria Alberta Menéres il. Rui Truta
1462,"Isabel Minhós Martins, Bernardo Carvalho"
1463,"Mariana Bradford, Mariana Magalhães, Joana Medeiros "
1464,escreveu Pedro Reisinho 
1465,história Manuela Micaelo 
1466,Kazumi Yumoto 
1467,text by Carlos Nogueira 
1468,Gerard van Gemert 
1469,texto Cidália Fernandes 
1470,Liane Schneider 
1471,escritas Jacqueline Bovy... [et. al.] 
1472,il. Eunice Rosado 
1473,Ana Tortosa 
1474,Judith Viorst 
1475,Maria João Lopo de Carvalho 
1476,Matilde Rosa Araújo 
1477,Kate Banks 
1478,Vanda Gonçalves 
1479,texto e il. Beatrice Alemagna 
1480,Fernando Bento Gomes 
1481,texto Maria Isabel Mendonça Soares 
1482,Maria João Carvalho 
1483,Eileen Browne 
1484,il. Virginia Allyn 
1485,texto e il. Inês Oliveira
1486,Paloma Valdivia 
1487,texto de Norbert Landa 
1488,"Daphne W. Rocha, Danuta Wojciechowska"
1489,história de Ana Ferreira
1490,Raymond Briggs
1491,Carlos Alberto Silva 
1492,Manuela Micaelo 
1493,texto de Pablo Albo 
1494,Arsénio Mota 
1495,"textos [de] Tristana Esteves Cardoso, il. [de] Mónica Catalá"
1496,texto e il. Pedro Salvador Mendes
1497,"Orlando Strecht-Ribeiro, António Almeida "
1498,M. Carolina Pereira Rosa
1499,trad. e adapt. Sara Costa 
1500,"Sheridan Cain, Jack Tickle "
1501,Calouan... [et al.] 
1502,texto de José Campanari 
1503,texto Roberto Aliaga 
1504,"Luísa Ducla Soares, M. Carolina Pereira Rosa, Cidália Fernandes "
1505,"Claire Freedman, Gail Yerrill "
1506,escreveu António Mota 
1507,adapt. a partir do argumento escrito por  Pedro Matias Maria
1508,Leo Timmers
1509,texto e il. Janosch
1510,baseado no guião televisivo de Susan Kim 
1511,texto Steve Smallman 
1512,M. Carolina Pereira Rosa 
1513,uma história de Teresa Guimarães 
1514,Susan Ring 
1515,texto Fina Casalderrey 
1516,texto e il. Jan Ivens
1517,texto Angela McAllister 
1518,texto Silvina Marques 
1519,Helena Simas
1520,recolha e adapt. de Tiago Salgueiro 
1521,Renata Gil 
1522,Manjusha Pawagi 
1523,Oliver Jeffers
1524,João Pedro Mésseder e Daniel Silvestre da Silva
1525,il. Tamsin Hinrichsen 
1526,Mar Pavón 
1527,texto Marni McGee 
1528,texto Pablo Albo 
1529,história Graça Breia 
1530,Disney Enterprises 
1531,textos Rita Taborda Duarte 
1532,texto de Maria Teresa Maia Gonzalez 
1533,Rita Sobral 
1534,escreveu César Madureira 
1535,história de Graça Breia 
1536,Vergílio Alberto Vieira
1537,"Disney, Pixar "
1538,Marni Mcgee 
1539,texto Ana Vicente 
1540,Graça Breia e Manuela Micaelo 
1541,texto e il. Manuel Brum
1542,Margarida Almeida 
1543,Pedro Bessa 
1544,Ana Teresa Seixas da Fonseca 
1545,Laura Owen e Korky Paul
1546,"texto de B.A.T.A., a partir da versão de Olalla González "
1547,"Elza Mesquita, Ana Pereira"
1548,texto Álvaro Magalhães 
1549,Mireille Saver... [et al.] 
1550,Astrid Mola 
1551,texto de Sidónio Muralha 
1552,recontados por António Mota 
1553,John Burningham 
1554,[texto de] Valerie Thomas 
1555,escrito por Martin Waddell 
1556,Filipe Gomes da sIlva 
1557,"António Torrado, Maria Alberta Menéres "
1558,John A. Rowe 
1559,texto adapt. Marion Johnson 
1560,texto Sara Rodrigues 
1561,il. Sally Anne Lambert 
1562,il. David Pace 
1563,Marta Cancela
1564,Daniel Marques Ferreira 
1565,Carlos Letra 
1566,"Anu Stohner, Henrike Wilson"
1567,Isabel Ribeiro 
1568,M. Christina Butler 
1569,Octaviano Correia 
1570,Mercer Mayer 
1571,il. Richard Hook 
1572,"Richard Zimler, Bernardo Carvalho"
1573,texto e il.  Raffaello Bergonse
1574,texto e il. Marie-Louise Gay 
1575,texto Luísa Villar Liébana 
1576,Martin Waddell 
1577,il. e texto Manuela Bacelar
1578,história de Schuyler Hooke 
1579,Maria Aurora Carvalho Homem 
1580,texto de Margaret Mahy 
1581,texto e il. de Carla Antunes
1582,Valérie Claisse... [et al.] 
1583,Rafael Cruz-Contarini 
1584,sel. José Viale Moutinho 
1585,Ana Vicente 
1586,uma história de Conceição de Sousa Gomes 
1587,texto e il. de Manuela Crespo
1588,escrito e il. por Michael Foreman 
1589,Rocío Martínez 
1590,rec. e autoria Tiago Salgueiro 
1591,escreveu Papiniano Carlos 
1592,Linda Jennings 
1593,texto Teresa Saavedra 
1594,Disney 
1595,selec. e org. José António Gomes 
1596,do livro de Gonçalo M. Tavares 
1597,"Nathalie Delebarre, Aurélie Blanz "
1598,"Maria Helena Henriques, Maria José Moreno, A. M. Galopim de Carvalho "
1599,Maria Conceição Galveia Ferreira 
1600,"M. Christina Butler, Jane Chapman "
1601,texto António Mota 
1602,Nicolás Guillén 
1603,Fátima Sobral 
1604,Marisa Pott 
1605,Alison Ritchie 
1606,textos populares recolhidos e il. Márcia Marques
1607,textos de Jeremy Smith 
1608,texto Franclim Neto 
1609,texto Maria Teresa dos Santos Silva 
1610,Anabela Batista 
1611,Rui Sousa
1612,Madalena Gomes 
1613,"Laura Ferreira Rodrigues, Catarina Fernandes"
1614,Maria do Rosário Pedreira 
1615,Filipa Aranda 
1616,il. Susana Ronchi 
1617,Cidália Fernandes 
1618,M Christina Butler 
1619,"Filipe Lopes, Carla Goulart Silva "
1620,Gary Larson 
1621,Marília Ascenso 
1622,Ruth Galloway 
1623,Marisa Núñez 
1624,Márcia Trabulo 
1625,Isabel Stilwell 
1626,texto Maria João Lobato de Faria 
1627,Klaus Baumgart 
1628,texto João Alberto Roque 
1629,José Barata-Moura 
1630,"Gillian Shields, Gary Blythe "
1631,escrito Tracy Harrast 
1632,texto e ilustração de Nuno Castelo
1633,texto e il. Bruno Santos
1634,escrito por Beverley Birch 
1635,Eva Mejuto 
1636,"Mathilde Stein, Mies van Hout "
1637,texto Isabel Zambujal 
1638,escrito por Judy Allen 
1639,texto Maria de Lurdes Marcelo 
1640,texto e il. Marta Torrão
1641,Gill Pittar 
1642,Manuela Monteiro 
1643,Patacrúa 
1644,texto e il. Inês de Oliveira
1645,Benoît Debecker
1646,texto Gail Herman 
1647,recontadas por António Torrado 
1648,texto Joanne Barkan 
1649,Manuela Castro 
1650,"Isabel Martins, Madalena Matoso"
1651,Paula Viotti 
1652,Isabel Rainha 
1653,Mário Contumélias 
1654,texto Gabriela Barcelos 
1655,Luísa Morandeira 
1656,texto de Angela McAllister 
1657,texto e il. de Dorindo Carvalho
1658,Emma Brownjohn 
1659,escrito por Dawn Sirett 
1660,texto e il. Elsa Lé 
1661,texto de Pat Thomson 
1662,texto e il. Celeste Maia
1663,Andrew Clements 
1664,adapt. Alexandra Guimarães 
1665,Richard Zimler 
1666,Carlos Frias de Carvalho 
1667,José António Franco
1668,Maria da Conceição Ruivo 
1669,Francisco Duarte Mangas 
1670,texto e il. Oliver Jeffers 
1671,Inês d'Almey 
1672,texto Pedro Ferrão 
1673,Pedro Freire Costa
1674,textos de António Mota 
1675,texto Rudyard Kipling 
1676,Cassie Beasley 
1677,Teresa Marques 
1678,Jacob e Wilhelm Grimm 
1679,Ziraldo 
1680,Suzana Ramos 
1681,Susana Tamaro 
1682,"João Pedro Mésseder, Rachel Caiano"
1683,"Margarida Fonseca Santos, Danuta Wojciechowska"
1684,adapt. Luc Lefort 
1685,Raquel Patriarca 
1686,Celeste de Almeida Gonçalves 
1687,Fátima Éffe & Zé-Luís 
1688,Anushka Ravishankar 
1689,Anne Frank 
1690,Equipo Plantel 
1691,"Isabel Minhós Martins, Maria Manuel Pedrosa "
1692,Bana Alabed 
1693,Gertrude Stein 
1694,Thomas Meehan 
1695,contada e pintada por Jan Balet 
1696,José Saramago... [et al.] 
1697,Alvaro Magalhães 
1698,Frances Burnett 
1699,texto de Andreia Penso Pereira 
1700,Isabel Zambujal 
1701,Ted Hughes 
1702,Ramiro S. Osório
1703,José Vaz 
1704,"Inês Barata Raposo, Susa Monteiro"
1705,Siobhán Parkinson 
1706,Eve Garnett 
1707,Laura Owen 
1708,Felix Salten 
1709,Enid Blyton 
1710,texto Suzana Ramos 
1711,"José Jorge Letria, Danuta Wojciechowska"
1712,"Manuela Castro Neves, Madalena Matoso"
1713,JiHyeon Lee
1714,texto Mac Barnett 
1715,Moncho Rodriguez 
1716,texto Luís Almeida Martins 
1717,José Carlos Rocha
1718,Rui Cerqueira Coelho 
1719,Richard Zimler
1720,Nuno Artur Silva 
1721,texto Arkádi Avértchenko 
1722,José Fanha : il. João Nasi Pereira
1723,Naomi Jones e James Jones 
1724,Jean de La Fontaine 
1725,Ursula Wölfel 
1726,Irmãos Grimm 
1727,Guerra Junqueiro 
1728,Adelheid Dahimène 
1729,uma história de Guido Visconti 
1730,escreveu Mia Couto 
1731,Cláudio Thebas 
1732,"Ana Soares, Bárbara Wong"
1733,trad. Maria Alberta Menéres 
1734,Pamela Cox 
1735,texto e aguarelas Antoine de Saint-Exupéry 
1736,texto João Pedro Mésseder 
1737,Olinda Beja 
1738,"Maria Inês Almeida, Joaquim Vieira "
1739,Jeanne-Marie Leprince de Beaumont 
1740,"Ana Maria Magalhães, Isabel Alçada, Carla Nazareth"
1741,"Sophia de Mello Breyner Andresen, Pedro Sousa Tavares "
1742,texto Manuela Júdice 
1743,texto e il. Pedro Seromenho
1744,Ulysses Moore 
1745,il. Rui Castro
1746,Tea Stilton 
1747,Catarina da Fonseca 
1748,Sara Rodi
1749,texto de Leonor Mexia 
1750,[adapt.] Luísa Ducla Soares 
1751,Mnuela Castro Neves 
1752,Maria Clementina 
1753,[texto] José Luís Peixoto 
1754,"[texto] Ana Maria Magalhães, Isabel Alçada "
1755,Alexandre  Honrado 
1756,Vanessa Mendes Martins 
1757,Catarina Águas 
1758,Capitão Nemo 
1759,sel. e adapt. e reconto de João Pedro Mésseder e Isabel Ramalhete 
1760,"Lourenço Macedo Santos, Maria da Paz Braga, Pedro Queirós "
1761,de Peter Newell
1762,[texto] Isabel Zambujal 
1763,texto Margarida Fonseca Santos 
1764,texto Davide Cali 
1765,"sel., adapt. e recontado por João Pedro Mésseder e Isabel Ramalhete "
1766,il. Maria Sassetti
1767,Irene Adler 
1768,Manuela Castro Neves : il. Madalena Matoso
1769,Roberto Parmeggiani 
1770,João Manuel Ribeiro
1771,"texto Carmen Chica, Manuel Marsol "
1772,João Fazenda
1773,Natacha Summer Ferreira 
1774,Sandro William Junqueira 
1775,Margarida Fonseca Santos e Elsa Serra
1776,"Margarida Fonseca Santos, Maria Teresa Maia Gonzalez"
1777,Paulo Serra 
1778,texto Jean-Yves Ferri 
1779,Filipa Sáragga
1780,Marta Duque Vaz 
1781,"José Mattoso, Ana Maria Magalhães, Isabel Alçada"
1782,Armanda Menezes 
1783,Alves Redol
1784,Jonathan Swift
1785,Henriqueta Cristina 
1786,"Jory John, Mac Barnett "
1787,Sir Steve Stevenson 
1788,textos de Ricardo Henriques 
1789,Hergé 
1790,"texto Afonso Cruz, Marta Bernardes "
1791,Raquel Ramos 
1792,Else Holmelund Minarik 
1793,Sérgio Mendes 
1794,recontadas António Mota 
1795,"Ana Maria Magalhães, Isabel Alçada  "
1796,Anabela Passos 
1797,trad. Maria Alberta Menéres il. Rui Truta
1798,Nuno Matos Valente 
1799,Shaun Tan 
1800,texto e il. Federico Delicado 
1801,Uysses Moore 
1802,Pedro Jardim 
1803,Nuno Magalhães Guedes 
1804,"Margarida Fonseca Santos, Maria João Lopo de Carvalho"
1805,"Maria Teresa Maia Gonzalez, Maria do Rosário Pedreira "
1806,Nilza de Assis 
1807,Luísa Lobão Moniz 
1808,Julian Tuwim 
1809,"João Pedro Mésseder, Ana Biscaia"
1810,Joachim Masannek 
1811,Miguel Borges Silva 
1812,Margarita del Mazo 
1813,P. L. Travers 
1814,Vergílio Alberto Vieira 
1815,"texto Maria Alberta Menéres, António Torrado "
1816,Catarina C. Guimarães e Nuno P. Nunes 
1817,Michael Bond 
1818,il. Anastassija Archipowa 
1819,Johanna Spyri 
1820,Conceição Dinis Tomé
1821,José Ruy
1822,Clarice Lispector 
1823,texto de Álvaro Magalhães 
1824,Mandana Sadat 
1825,Beatriz Osés 
1826,Cristina Norton 
1827,"Joana Miranda, Sofia Neves "
1828,Madeleine L'Engle 
1829,história e il. por Roberto Innocenti 
1830,texto André Gago 
1831,James Joyce 
1832,texto René Goscinny 
1833,introd. e notas Urbano Tavares Rodrigues 
1834,texto de Anna Castagnoli 
1835,Adam Blade 
1836,de James Barklee 
1837,Jaime Cortesão 
1838,"Rita Taborda Duarte, Maria João Lima"
1839,encontrada por Shaun Tan 
1840,Barbara Lehman 
1841,by James Barklee
1842,texto de Inés Almagro 
1843,Lynda Edwards 
1844,Silvia Santirosi 
1845,texto Maria do Rosário Pedreira 
1846,[texto e il.] Pedro Seromenho
1847,Sara Monteiro
1848,João Gomes de Abreu 
1849,Izabella Hearn 
1850,Ramón Caride 
1851,Alexandre Honrado
1852,Rosa Mesquita 
1853,Maria Parr 
1854,Anna Kemp 
1855,Pedro Sena-Lino 
1856, José Eduardo Agualusa 
1857,baseado no conto de Jacob & Wilhelm Grimm 
1858,Agnès de Lestrade 
1859,Gisela Silva 
1860,texto Gonçalo M. Tavares 
1861,texto de Roberto Malo e Francisco Javier Mateos 
1862,textos Yvette K. Centeno 
1863,história de António Mota 
1864,recontadas por Fiona Waters 
1865,Mário João Alves 
1866,Franclim Neto 
1867,Sérgio Guimarães de Sousa 
1868,texto de Arturo Abad 
1869,Ruth Almog 
1870,texto e ilustração de Pedro Teixeira Neves
1871,"Mariana Bradford, Mariana Magalhães e Joana Medeiros "
1872,Daniel Marques Ferreira
1873,"Margarida Fonseca Santos, Inês do Carmo"
1874,Joel Franz Rosell 
1875,José Leon Machado 
1876,texto de Txabi Arnal 
1877,"Alexandre Parafita, Simone de Fátima Gonçalves "
1878,Luc Besson 
1879,Julia Boehme 
1880,Bruno Munari 
1881,Jacques Prévert 
1882,texto e il. Ana Faria
1883,adap. Carmen Palomo Garcia 
1884,Maria Isabel Moura 
1885,texto Patrícia Reis 
1886,Manuela Leite 
1887,por Clement C. Moore 
