,title,author,publisher,res_page,PNLedition,age_recom,theme,1st_author,other_authors
0,O paraíso são os outros,[texto] e il. Valter Hugo Mãe,"Porto : Porto Ed., 2020",1,2018 - 1.º Sem.,12 - 14 anos,Literatura,[texto] e il. Valter Hugo Mãe,
1,Contos maravilhosos,Hans Christian Andersen ; trad. João Reis,"Amadora : Fábula, 2019",1,2018 - 1.º Sem.,12 - 14 anos,Literatura,Hans Christian Andersen , trad. João Reis
2,Matilda,Roald Dahl ; il. Quentin Blake ; trad. Ana Lourenço,"Alfragide : Oficina do Livro, 2019",1,2018 - 1.º Sem.,12 - 14 anos,Literatura,Roald Dahl , il. Quentin Blake ; trad. Ana Lourenço
3,O museu do pensamento,Joana Bértholo ; il. Pedro Semeano & Susana Diniz,"Alfragide : Caminho, 2018",1,2018 - 1.º Sem.,12 - 14 anos,Literatura,Joana Bértholo , il. Pedro Semeano & Susana Diniz
4,Wonderstruck : o museu das maravilhas,Brian Selznick ; trad. Luís Rodrigues dos Santos,"Alfragide : Asa II, 2018",1,2018 - 1.º Sem.,12 - 14 anos,Literatura,Brian Selznick , trad. Luís Rodrigues dos Santos
5,Perigo na floresta,Maria Francisca Macedo ; il. Sara Paz,"Amadora : Booksmile, 2018",1,2018 - 1.º Sem.,12 - 14 anos,Literatura,Maria Francisca Macedo , il. Sara Paz
6,"Atlas das viagens e dos exploradores : as viagens de monges, naturalistas e outros viajantes de todos os tempos e lugares","Isabel Minhós Martins, Bernardo P. Carvalho","Carcavelos : Planeta Tangerina, 2018",1,2018 - 1.º Sem.,12 - 14 anos,Literatura,"Isabel Minhós Martins, Bernardo P. Carvalho",
7,O paraíso são os outros,[texto] e il. Valter Hugo Mãe,"Porto : Porto Ed., 2018",1,2018 - 1.º Sem.,12 - 14 anos,Literatura,[texto] e il. Valter Hugo Mãe,
8,Santiago : o lince da herdade das romeiras,Isabel Maria Fidalgo Mateus ; il. Cristina Borges Rocha,ISBN: 978-989-99758-1-1,1,2018 - 1.º Sem.,12 - 14 anos,Literatura,Isabel Maria Fidalgo Mateus , il. Cristina Borges Rocha
9,O livro do pó,Philip Pullman ; il. por Chris Wormell ; trad. de Rosário Monteiro,"Barcarena : Presença, 2018-",1,2018 - 1.º Sem.,12 - 14 anos,Literatura,Philip Pullman , il. por Chris Wormell ; trad. de Rosário Monteiro
10,A barragem assombrada,Maria Francisca Macedo ; il. Sara Paz,"Amadora : Booksmile, 2018",1,2018 - 1.º Sem.,12 - 14 anos,Literatura,Maria Francisca Macedo , il. Sara Paz
11,Os contrabandistas de cristais,Maria Francisca Macedo ; il. Sara Paz,"Amadora : Booksmile, imp. 2018",1,2018 - 1.º Sem.,12 - 14 anos,Literatura,Maria Francisca Macedo , il. Sara Paz
12,A história do Anjo Angelino,David Almond ; il. de Alex T. Smith ; trad. de Maria José Figueiredo,"Barcarena : Presença, 2018",1,2018 - 1.º Sem.,12 - 14 anos,Literatura,David Almond , il. de Alex T. Smith ; trad. de Maria José Figueiredo
13,[Trilogia O tatuador de Auschwitz],Heather Morris ; trad. de Miguel Romeira,"Barcarena : Presença, 2018-",1,2018 - 1.º Sem.,12 - 14 anos,Literatura,Heather Morris , trad. de Miguel Romeira
14,"O gato, o Ankou e o Maori",Michel Rio ; il. Marie Belorgey ; trad. Joana Cabral,"Amadora : Elsinore, 2018",1,2018 - 1.º Sem.,12 - 14 anos,Literatura,Michel Rio , il. Marie Belorgey ; trad. Joana Cabral
15,A guerra,José Jorge Letria ; il. André Letria,"Lisboa : Pato Lógico, 2018",1,2018 - 1.º Sem.,12 - 14 anos,Literatura,José Jorge Letria , il. André Letria
16,Civilização e outros contos,Eça de Queirós ; pref. de Maria do Rosário Pedreira,"Amadora : Fábula, 2018",1,2018 - 1.º Sem.,12 - 14 anos,Literatura,Eça de Queirós , pref. de Maria do Rosário Pedreira
17,A volta ao mundo em 80 dias,Júlio verne ; trad. do francês e pref. Tiago Marques,"Amadora : Fábula, 2017",1,2018 - 1.º Sem.,12 - 14 anos,Literatura,Júlio verne , trad. do francês e pref. Tiago Marques
18,Um estranho caso na quinta,Maria Francisca Macedo ; il. Sara Paz,"Amadora : Booksmile, 2017",1,2018 - 1.º Sem.,12 - 14 anos,Literatura,Maria Francisca Macedo , il. Sara Paz
19,Wonder : encantador,R. J. Palacio ; trad. Leonor Marques,"Alfragide : ASA II, 2017",1,2018 - 1.º Sem.,12 - 14 anos,Literatura,R. J. Palacio , trad. Leonor Marques
20,O veleiro de cristal,José Mauro de Vasconcelos,"Amadora : Fábula, 2017",2,2018 - 1.º Sem.,12 - 14 anos,Literatura,José Mauro de Vasconcelos,
21,Contos maravilhosos,Hans Christian Andersen ; trad. João Reis,"Amadora : Fábula, 2017",2,2018 - 1.º Sem.,12 - 14 anos,Literatura,Hans Christian Andersen , trad. João Reis
22,Mistério no hospital,texto Maria Francisca Macedo ; il. Sara Paz,"Amadora : Booksmile, 2017",2,2018 - 1.º Sem.,12 - 14 anos,Literatura,texto Maria Francisca Macedo , il. Sara Paz
23,Mitologia nórdica,Neil Gaiman ; trad. Maria de Almeida,"Barcarena : Presença, imp. 2017",2,2018 - 1.º Sem.,12 - 14 anos,Literatura,Neil Gaiman , trad. Maria de Almeida
