,title,author,publisher,res_page,PNLedition,age_recom,theme,1st_author,other_authors
0,Brincamos às escondidas,Verónica Fabregat,"Barcelona : Akiara books, 2022",1,2022 - 1.o Sem.,6 - 8 anos,Literatura,Verónica Fabregat,
1,Eustáquio : o mágico magnifico,texto e il. Alexandre Rampazo ; trad. The Poets and Dragons Society,ISBN: 978-989-53146-9-0,1,2022 - 1.o Sem.,6 - 8 anos,Literatura,texto e il. Alexandre Rampazo , trad. The Poets and Dragons Society
2,O banco,Meghan ; il. Christian Robinson ; trad. Joana Gonçalves,"Lisboa : Nuvem de Letras, 2022",1,2022 - 1.o Sem.,6 - 8 anos,Literatura,Meghan , il. Christian Robinson ; trad. Joana Gonçalves
3,Colas de sueños,"Rita Sineiro, Laia Doménech","Barcelona : Kiara Books, 2022",1,2022 - 1.o Sem.,6 - 8 anos,Literatura,"Rita Sineiro, Laia Doménech",
4,A minha família,António Mota ; il. David Penela,"Alfragide : ASA, 2022",1,2022 - 1.o Sem.,6 - 8 anos,Literatura,António Mota , il. David Penela
5,Boleia,texto e il. Guilherme Karsten,"Lisboa : Fábula, 2022",1,2022 - 1.o Sem.,6 - 8 anos,Literatura,texto e il. Guilherme Karsten,
6,Está a chover,Ana Pessoa ; il. Madalena Matoso,"Carcavelos : Planeta Tangerina, 2022",1,2022 - 1.o Sem.,6 - 8 anos,Literatura,Ana Pessoa , il. Madalena Matoso
7,A amizade bate à porta,Sidónio Muralha ; il. Gabriela Sotto Mayor,"Porto : Tinta Por Uma Linha, D.L. 2022",1,2022 - 1.o Sem.,6 - 8 anos,Literatura,Sidónio Muralha , il. Gabriela Sotto Mayor
8,Filas de sonhos,"Rita Sineiro, Laia Doménech","Barcelona : Kiara Books, 2022",1,2022 - 1.o Sem.,6 - 8 anos,Literatura,"Rita Sineiro, Laia Doménech",
9,Sábado,texto e il. Oge Mora ; trad. Susana Cardoso Ferreira,"Lisboa : Fábula, 2022",1,2022 - 1.o Sem.,6 - 8 anos,Literatura,texto e il. Oge Mora , trad. Susana Cardoso Ferreira
10,Nem te digo só te conto,João Manuel Ribeiro ; il. Bolota,"Porto : Trinta Por Uma Linha, 2022",1,2022 - 1.o Sem.,6 - 8 anos,Literatura,João Manuel Ribeiro , il. Bolota
11,Faísca : a história de um encontro para a vida,Guojing,"[S.l.] : Baduga, 2022",1,2022 - 1.o Sem.,6 - 8 anos,Literatura,Guojing,
12,O príncipe com orelhas de burro : e outras histórias,António Torrado ; il. de Maria João Lopes,"Alfragide : ASA II, 2022",1,2022 - 1.o Sem.,6 - 8 anos,Literatura,António Torrado , il. de Maria João Lopes
