,title,author,publisher,res_page,PNLedition,age_recom,theme,1st_author,other_authors
0,A história da Júlia e da sua sombra de menino,"Christian Bruel, Anne Bozellec ; trad. Maria Afonso","Lisboa : Orfeu Negro, 2021",1,2021 - 2.o Sem.,9 - 11 anos,Literatura,"Christian Bruel, Anne Bozellec ", trad. Maria Afonso
1,O grande panda e o pequeno dragão,James Norbury ; trad. Lucília Filipe,"Lisboa : Suma de Letras, 2021",1,2021 - 2.o Sem.,9 - 11 anos,Literatura,James Norbury , trad. Lucília Filipe
2,A menina do mar,Sophia de Mello Breyner Andresen ; il. Sarah Affonso,"Porto : Porto Ed., 2021",1,2021 - 2.o Sem.,9 - 11 anos,Literatura,Sophia de Mello Breyner Andresen , il. Sarah Affonso
3,Coisas que gostam de coisas,João Pedro Mésseder e Rachel Caiano,"Alfragide : Caminho, 2021",1,2021 - 2.o Sem.,9 - 11 anos,Literatura,João Pedro Mésseder e Rachel Caiano,
4,Nunca cresças,il. de Quentin Blake ; trad. Susana Cardoso Ferreira,"Alfragide : Oficina do Livro, 2021",1,2021 - 2.o Sem.,9 - 11 anos,Literatura,il. de Quentin Blake , trad. Susana Cardoso Ferreira
5,O cão dos olhos dourados,João de Melo ; il. Célia Fernandes,"Alfragide : Dom Quixote, 2021",1,2021 - 2.o Sem.,9 - 11 anos,Literatura,João de Melo , il. Célia Fernandes
6,Mudar,Ana Ventura,"Lisboa : Pato Lógico, 2021",1,2021 - 2.o Sem.,9 - 11 anos,Literatura,Ana Ventura,
7,Crónicas de um bufão na corte de Dom João,Lurdes Breda il. Tânia Clímaco,"Leiria : Hora de Ler, 2021",1,2021 - 2.o Sem.,9 - 11 anos,Literatura,Lurdes Breda il. Tânia Clímaco,
8,A linda Susana e outras histórias,António Torrado ; il. de Maria João Lopes  ,"Alfragide : ASA, 2021",1,2021 - 2.o Sem.,9 - 11 anos,Literatura,António Torrado , il. de Maria João Lopes  
9,Viagem ao centro do escuro,David Machado ; il. Madalena Moniz,"Alfragide : Caminho, 2021",1,2021 - 2.o Sem.,9 - 11 anos,Literatura,David Machado , il. Madalena Moniz
10,Tantas voltas e voltinhas até chegarmos aqui,José Fanha : il. João Nasi Pereira,"Sintra : Câmara Municipal, 2021",1,2021 - 2.o Sem.,9 - 11 anos,Literatura,José Fanha : il. João Nasi Pereira,
11,O nevoeiro,Marco Taylor,"[S.l. : s.n.], 2021",1,2021 - 2.o Sem.,9 - 11 anos,Literatura,Marco Taylor,
