,title,author,publisher,res_page,PNLedition,age_recom,theme,1st_author,other_authors
0,A festa das bruxas,Agatha Christie ; trad. John Almeida,"Alfragide : Asa II, 2021",1,2018 - 1.º Sem.,15 - 18 anos,Literatura,Agatha Christie , trad. John Almeida
1,O paraíso são os outros,[texto] e il. Valter Hugo Mãe,"Porto : Porto Ed., 2020",1,2018 - 1.º Sem.,15 - 18 anos,Literatura,[texto] e il. Valter Hugo Mãe,
2,Sinais de fogo,Jorge de Sena,"Porto : Livros do Brasil, 2019",1,2018 - 1.º Sem.,15 - 18 anos,Literatura,Jorge de Sena,
3,O velho que lia romances de amor,Luis Sepúlveda ; trad. Pedro Tamen,"Porto : Livros do Brasil, 2018",1,2018 - 1.º Sem.,15 - 18 anos,Literatura,Luis Sepúlveda , trad. Pedro Tamen
4,A metamorfose,"Franz Kafka ; trad. do alemão, prefácio e cronologia de Álvaro Gonçalves","Porto : Livros do Brasil, 2018",1,2018 - 1.º Sem.,15 - 18 anos,Literatura,Franz Kafka ," trad. do alemão, prefácio e cronologia de Álvaro Gonçalves"
5,Afirma Pereira : a partir do romance de Antonio Tabucchi,[adapt.] Pierre-Henry Gomont ; grafismo e legendagem de Robert Sienicki ; trad. José Hartvig de Freitas,ISBN: 978-84-16510-67-2,1,2018 - 1.º Sem.,15 - 18 anos,Literatura,[adapt.] Pierre-Henry Gomont , grafismo e legendagem de Robert Sienicki ; trad. José Hartvig de Freitas
6,O vermelho e o negro : crónica de 1830,"Stendhal ; trad. Rui Santana Brito, Helder Guégués","Lisboa : Guerra e Paz, 2018",1,2018 - 1.º Sem.,15 - 18 anos,Literatura,Stendhal ," trad. Rui Santana Brito, Helder Guégués"
7,A minha verdadeira história,Juan José Millás ; trad. Mário Dias Correia,"Lisboa : Planeta, 2018",1,2018 - 1.º Sem.,15 - 18 anos,Literatura,Juan José Millás , trad. Mário Dias Correia
8,O paraíso são os outros,[texto] e il. Valter Hugo Mãe,"Porto : Porto Ed., 2018",1,2018 - 1.º Sem.,15 - 18 anos,Literatura,[texto] e il. Valter Hugo Mãe,
9,[Trilogia O tatuador de Auschwitz],Heather Morris ; trad. de Miguel Romeira,"Barcarena : Presença, 2018-",1,2018 - 1.º Sem.,15 - 18 anos,Literatura,Heather Morris , trad. de Miguel Romeira
