,title,author,publisher,res_page,PNLedition,age_recom,theme,1st_author,other_authors
0,Como ela morre ; Sopro,Tiago Rodrigues,"Lisboa : Teatro Nacional D. Maria II : Bicho do Mato, 2019",1,2018 - 2.º Sem.,15 - 18 anos,Literatura,Tiago Rodrigues,
1,Adão e Eva no paraíso ; seguido de O senhor diabo e outros contos,Eça de Queiroz,"Lisboa : Guerra e Paz, 2018",1,2018 - 2.º Sem.,15 - 18 anos,Literatura,Eça de Queiroz,
2,Hotel memória,João Tordo,"Lisboa : Companhia das Letras, 2018",1,2018 - 2.º Sem.,15 - 18 anos,Literatura,João Tordo,
3,As mil e uma noites,trad. Hugo Maia,"Silveira : E-Primatur, 2018-",1,2018 - 2.º Sem.,15 - 18 anos,Literatura,trad. Hugo Maia,
4,O segredo de Nebula,Trudi Trueit ; il. Scott Plumbe,"Alfragide : Asa II, 2018",1,2018 - 2.º Sem.,15 - 18 anos,Literatura,Trudi Trueit , il. Scott Plumbe
5,Beren e Lúthien,J. R. R. Tolkien ; ed. Christopher Tolkien ; il. Alan Lee ; trad. Catarina Ferreira de Almeida,"Lisboa : Planeta, 2018",1,2018 - 2.º Sem.,15 - 18 anos,Literatura,J. R. R. Tolkien , ed. Christopher Tolkien ; il. Alan Lee ; trad. Catarina Ferreira de Almeida
6,Babilónia,Yasmina Reza ; trad. de Sandra Silva,"Lisboa : Quetzal, 2018",1,2018 - 2.º Sem.,15 - 18 anos,Literatura,Yasmina Reza , trad. de Sandra Silva
7,Pranto de Maria Parda ; Auto da barca do inferno,Gil Vicente,"Lisboa : Guerra e Paz, 2018",1,2018 - 2.º Sem.,15 - 18 anos,Literatura,Gil Vicente,
8,Frei Luís de Sousa,Almeida Garrett ; fixação de texto Ana Salgado,"Lisboa : Guerra e Paz, 2018",1,2018 - 2.º Sem.,15 - 18 anos,Literatura,Almeida Garrett , fixação de texto Ana Salgado
9,"Manobras de guerrilha : pugilistas, pokémons  & génios",Bruno Vieira do Amaral,"Lisboa : Quetzal, 2018",1,2018 - 2.º Sem.,15 - 18 anos,Literatura,Bruno Vieira do Amaral,
10,O que se cala é como se não existisse,Maria José da Silveira Núncio,"Porto : Coolbooks, 2018",1,2018 - 2.º Sem.,15 - 18 anos,Literatura,Maria José da Silveira Núncio,
11,As três vidas,João Tordo,"Lisboa : Companhia das Letras, 2018",1,2018 - 2.º Sem.,15 - 18 anos,Literatura,João Tordo,
12,Os memoráveis : romance,Lídia Jorge ; pref. Guilherme d'Oliveira Martins,"Alfragide : Leya, 2018",1,2018 - 2.º Sem.,15 - 18 anos,Literatura,Lídia Jorge , pref. Guilherme d'Oliveira Martins
13,A boneca de kokoschka,Afonso Cruz,"Lisboa : Companhia das Letras, cop. 2018",1,2018 - 2.º Sem.,15 - 18 anos,Literatura,Afonso Cruz,
14,Lorde Jim : uma narrativa,Joseph Conrad ; trad. João Moita,"Lisboa : Guerra e Paz, 2018",1,2018 - 2.º Sem.,15 - 18 anos,Literatura,Joseph Conrad , trad. João Moita
15,Princípio de Karenina,Afonso Cruz,"Lisboa : Companhia das Letras, 2018",1,2018 - 2.º Sem.,15 - 18 anos,Literatura,Afonso Cruz,
16,A seguir,Morris Gleitzman ; trad. Dulce Afonso,"Amadora : Fábula, 2018",1,2018 - 2.º Sem.,15 - 18 anos,Literatura,Morris Gleitzman , trad. Dulce Afonso
17,A Odisseia de Homero adaptada para jovens,Frederico Lourenço ; desenhos de Richard de Luchi,"Lisboa : Quetzal, 2018",1,2018 - 2.º Sem.,15 - 18 anos,Literatura,Frederico Lourenço , desenhos de Richard de Luchi
18,Não matem o bébé,Kensaburo Oe ; trad. de Daniel Gonçalves,"Porto : Livros do Brasil, 2018",1,2018 - 2.º Sem.,15 - 18 anos,Literatura,Kensaburo Oe , trad. de Daniel Gonçalves
19,"Como desenhar o corpo humano : 21 textos de 21 autores, 21 anos de jovens criadores",Ana Pessoa... [et al.],"Lisboa : Companhia das Letras, 2018",1,2018 - 2.º Sem.,15 - 18 anos,Literatura,Ana Pessoa... [et al.],
20,Se isto é um homem,Primo Levi ; trad. Simonetta Cabrita Neto ; pref. Fernando Pinto do Amaral,"Alfragide : Leya, 2018",2,2018 - 2.º Sem.,15 - 18 anos,Literatura,Primo Levi , trad. Simonetta Cabrita Neto ; pref. Fernando Pinto do Amaral
21,A casa sombria,"Charles Dickens ; introd. G.K. Chesterton ; il. Hablot K. Browne "" Phiz"" ; trad. Mário Domingues, Helder Guégués","Silveira : E-Primatur, 2018",2,2018 - 2.º Sem.,15 - 18 anos,Literatura,Charles Dickens ," introd. G.K. Chesterton ; il. Hablot K. Browne "" Phiz"" ; trad. Mário Domingues, Helder Guégués"
22,Instantâneos,Claudio Magris ; trad. Sara Ludovico,"Lisboa : Quetzal, 2018",2,2018 - 2.º Sem.,15 - 18 anos,Literatura,Claudio Magris , trad. Sara Ludovico
23,O jogador de xadrez,David Sala ; adapt. da obra Stefan Zweig ; trad. João Miguel Lameiras,ISBN: 978-989-682-772-4,2,2018 - 2.º Sem.,15 - 18 anos,Literatura,David Sala , adapt. da obra Stefan Zweig ; trad. João Miguel Lameiras
24,O tango : quatro conferências,Jorge Luis Borges ; trad. Cristina Rodriguez e Artur Guerra,"Lisboa : Quetzal, 2018",2,2018 - 2.º Sem.,15 - 18 anos,Literatura,Jorge Luis Borges , trad. Cristina Rodriguez e Artur Guerra
25,Relato de um certo oriente,Milton Hatoum,"Lisboa : Companhia das Letras, 2018",2,2018 - 2.º Sem.,15 - 18 anos,Literatura,Milton Hatoum,
26,O nervo ótico,María Gainza ; trad. Maria do Carmo Abreu,"Alfragide : Dom Quixote, 2018",2,2018 - 2.º Sem.,15 - 18 anos,Literatura,María Gainza , trad. Maria do Carmo Abreu
27,Contos,texto e il. Beatrix Potter ; trad. Inês Dias,ISBN: 978-989-641-736-9,2,2018 - 2.º Sem.,15 - 18 anos,Literatura,texto e il. Beatrix Potter , trad. Inês Dias
28,A mala misteriosa do senhor Benjamin : baseado na história muito verdadeira de Walter Benjamin,texto e il. de Pei-Yu Chang ; trad. Eurídice Gomes,"Lisboa : Penguin Random House, 2017",2,2018 - 2.º Sem.,15 - 18 anos,Literatura,texto e il. de Pei-Yu Chang , trad. Eurídice Gomes
29,A revolução,"Slawomir Mrozek ; il. Tiago Galo ; trad. Marta Machowska-Dias, José Carlos Dias","Lisboa : Alfaguara, 2017",2,2018 - 2.º Sem.,15 - 18 anos,Literatura,Slawomir Mrozek ," il. Tiago Galo ; trad. Marta Machowska-Dias, José Carlos Dias"
30,A sétima onda,J. Rentes de Carvalho,"Lisboa : Quetzal, 2017",2,2018 - 2.º Sem.,15 - 18 anos,Literatura,J. Rentes de Carvalho,
