,title,author,publisher,res_page,PNLedition,age_recom,theme,1st_author,other_authors
0,O retrato : aquilo que não se vê,Clovis Levi ; il. Ana Biscaia,"Figueira da Foz : Xerefé, D.L. 2021",1,2021 - 1.o Sem.,15 - 18 anos,Literatura,Clovis Levi , il. Ana Biscaia
1,Talvez,Morris Gleitzman ; trad. Dulce Afonso,"Amadora : Fábula, 2021",1,2021 - 1.o Sem.,15 - 18 anos,Literatura,Morris Gleitzman , trad. Dulce Afonso
2,A quinta dos animais,George Orwell ; il. Ralph Steadman ; trad. Rita Carvalho e Guerra,"Amadora : Cavalo de Ferro, 2021",1,2021 - 1.o Sem.,15 - 18 anos,Literatura,George Orwell , il. Ralph Steadman ; trad. Rita Carvalho e Guerra
3,Os últimos dias dos nossos pais,Joël Dicker ; trad. Paulo Ramos,"Lisboa : Alfaguara, 2021",1,2021 - 1.o Sem.,15 - 18 anos,Literatura,Joël Dicker , trad. Paulo Ramos
4,Desamigados : ou como cancelar amizades sem carregar no botão,António Mega Ferreira,"Lisboa : Tinta da China, 2021",1,2021 - 1.o Sem.,15 - 18 anos,Literatura,António Mega Ferreira,
5,Almoço de Domingo,José Luís Peixoto,"Lisboa : Quetzal, 2021",1,2021 - 1.o Sem.,15 - 18 anos,Literatura,José Luís Peixoto,
6,A quinta dos animais,adapt. e il. Odyr ; trad. Carlos César Vasconcelos,ISBN: 978-989-783-009-9,1,2021 - 1.o Sem.,15 - 18 anos,Literatura,adapt. e il. Odyr , trad. Carlos César Vasconcelos
7,Mil novecentos e oitenta e quatro,George Orwell ; pref. de Gonçalo M. Tavares ; trad. de José Miguel Silva,ISBN: 978-989-783-098-3,1,2021 - 1.o Sem.,15 - 18 anos,Literatura,George Orwell , pref. de Gonçalo M. Tavares ; trad. de José Miguel Silva
8,Viagem ao país da manhã,Hermann Hesse ; trad. do alemão Mónica Dias,"Amadora : Cavalo de Ferro, 2021",1,2021 - 1.o Sem.,15 - 18 anos,Literatura,Hermann Hesse , trad. do alemão Mónica Dias
9,O vício dos livros,Afonso Cruz,"Lisboa : Companhia das Letras, 2021",1,2021 - 1.o Sem.,15 - 18 anos,Literatura,Afonso Cruz,
10,Desde 1880,il. Pietro Gottuso,"Matosinhos : Kalandraka, 2021",1,2021 - 1.o Sem.,15 - 18 anos,Literatura,il. Pietro Gottuso,
11,A estrela que vejo da minha janela,Onjali Q. Raúf ; trad. Maria Leitão,"Amadora : Booksmile, 2021",1,2021 - 1.o Sem.,15 - 18 anos,Literatura,Onjali Q. Raúf , trad. Maria Leitão
