,title,author,publisher,res_page,PNLedition,age_recom,theme,1st_author,other_authors
0,A náusea,Jean-Paul Sartre ; trad. António Coimbra Martins,"Porto : Livros do Brasil, 2021",1,2019 - 1.º Sem.,15 - 18 anos,Literatura,Jean-Paul Sartre , trad. António Coimbra Martins
1,Diário de Samuel Z,"Ana Maria Magalhães, Isabel Alçada ; il. Pedro Burgos","Lisboa : EMEL, 2020",1,2019 - 1.º Sem.,15 - 18 anos,Literatura,"Ana Maria Magalhães, Isabel Alçada ", il. Pedro Burgos
2,Dylan Dog : o velho que lê,textos e des. Fábio Celoni ; texto Tiziano Sclavi ; des. Angelo Stano ; trad. Mário João Marques,"Warszawa : G. Floy Studio, 2019",1,2019 - 1.º Sem.,15 - 18 anos,Literatura,textos e des. Fábio Celoni , texto Tiziano Sclavi ; des. Angelo Stano ; trad. Mário João Marques
3,Alves & Companhia,Eça de Queirós,"Lisboa : 11x17, 2019",1,2019 - 1.º Sem.,15 - 18 anos,Literatura,Eça de Queirós,
4,Em tudo havia beleza,Manuel Vilas ; trad. Vasco Gato,"Lisboa : Alfaguara, 2019",1,2019 - 1.º Sem.,15 - 18 anos,Literatura,Manuel Vilas , trad. Vasco Gato
5,As aventuras de Robin dos Bosques,Roger Lancelyn Green ; trad. de Sara David Lopes,"Lisboa : Bertrand, 2019",1,2019 - 1.º Sem.,15 - 18 anos,Literatura,Roger Lancelyn Green , trad. de Sara David Lopes
6,Coração,"Edmundo de Amicis ; trad.J. Teixeira de Aguilar ; il. A. Ferraguti, E. Nardi, A. G. Sartoriu","Porto : Sextante, 2019",1,2019 - 1.º Sem.,15 - 18 anos,Literatura,Edmundo de Amicis ," trad.J. Teixeira de Aguilar ; il. A. Ferraguti, E. Nardi, A. G. Sartoriu"
7,O primeiro homem : a partir da obra de Albert Camus,Jacques Ferrandez ; trad. Artur Lopes Cardoso,ISBN: 978-972-0-03170-9,1,2019 - 1.º Sem.,15 - 18 anos,Literatura,Jacques Ferrandez , trad. Artur Lopes Cardoso
8,Ciclone : diário de uma montanha-russa,texto Inês Barahona e Miguel Fragata ; il. Mariana Malhão,"Lisboa : Orfeu Negro, 2019",1,2019 - 1.º Sem.,15 - 18 anos,Literatura,texto Inês Barahona e Miguel Fragata , il. Mariana Malhão
9,A pena do falcão,Trudi Trueit ; il. Scott Plumbe,"Alfragide : Asa II, 2019",1,2019 - 1.º Sem.,15 - 18 anos,Literatura,Trudi Trueit , il. Scott Plumbe
10,William Wenton e o agente orbulator,Bobbie Peers ; trad. do norueguês por João Reis,"Porto : Porto Ed., 2019",1,2019 - 1.º Sem.,15 - 18 anos,Literatura,Bobbie Peers , trad. do norueguês por João Reis
11,Aqui é um bom lugar,"Ana Pessoa, Joana Estrela","Carcavelos : Planeta Tangerina, 2019",1,2019 - 1.º Sem.,15 - 18 anos,Literatura,"Ana Pessoa, Joana Estrela",
12,Mariana : o urso-pardo sábio dos saltimbancos,Isabel Maria Fidalgo Mateus ; il. Cristina Borges Rocha,ISBN: 978-989-99758-3-5,1,2019 - 1.º Sem.,15 - 18 anos,Literatura,Isabel Maria Fidalgo Mateus , il. Cristina Borges Rocha
13,Os meninos de Varsóvia,Elisabeth Gifford ; trad. Irene Ramalho,"Porto : Porto Ed., 2019",1,2019 - 1.º Sem.,15 - 18 anos,Literatura,Elisabeth Gifford , trad. Irene Ramalho
14,A guerra dos mundos,H. G. Wells ; trad. do inglês por João Bernardo Paiva Boléo ; il. Henrique Alvim Corrêa,"Lisboa : Sextante, 2019",1,2019 - 1.º Sem.,15 - 18 anos,Literatura,H. G. Wells , trad. do inglês por João Bernardo Paiva Boléo ; il. Henrique Alvim Corrêa
15,De noite sonho com a paz : diário de guerra 1941-1945,Carry Ulreich ; pref. e fixação de texto Bart Wallet ; trad. Maria Leonor Raven,"Porto : Porto Ed., 2019",1,2019 - 1.º Sem.,15 - 18 anos,Literatura,Carry Ulreich , pref. e fixação de texto Bart Wallet ; trad. Maria Leonor Raven
16,Sinais de fogo,Jorge de Sena,"Porto : Livros do Brasil, 2019",1,2019 - 1.º Sem.,15 - 18 anos,Literatura,Jorge de Sena,
17,Nova gramática do latim,Frederico Lourenço ; coord. Francisco José Viegas,"Lisboa : Quetzal, 2019",1,2019 - 1.º Sem.,15 - 18 anos,Literatura,Frederico Lourenço , coord. Francisco José Viegas
18,A noite da espera : o lugar mais sombrio,Milton Hatoum,"Lisboa : Companhia das Letras, 2019",1,2019 - 1.º Sem.,15 - 18 anos,Literatura,Milton Hatoum,
19,O manto,Agustina Bessa-Luís ; pref. João Miguel Fernandes Jorge,"Lisboa : Relógio d'Água, cop. 2018",1,2019 - 1.º Sem.,15 - 18 anos,Literatura,Agustina Bessa-Luís , pref. João Miguel Fernandes Jorge
20,O senhor Ventura : novela,Miguel Torga,"Alfragide : Dom Quixote, 2018",2,2019 - 1.º Sem.,15 - 18 anos,Literatura,Miguel Torga,
21,Florinhas de Soror Nada : a vida de uma não-santa,Luísa Costa Gomes,"Alfragide : Dom Quixote, 2018",2,2019 - 1.º Sem.,15 - 18 anos,Literatura,Luísa Costa Gomes,
22,O invisível,Rui Lage,"Lisboa : Gradiva, 2018",2,2019 - 1.º Sem.,15 - 18 anos,Literatura,Rui Lage,
