,title,author,publisher,res_page,PNLedition,age_recom,theme,1st_author,other_authors
0,Histórias do arco da velha,org. de António Botto ; il. Nuno Alexandre Vieira,"Porto : Porto Ed., 2022",1,2020 - 2.o Sem.,9 - 11 anos,Literatura,org. de António Botto , il. Nuno Alexandre Vieira
1,Eu vou ser,José Jorge Letria ; André Letria,"[S.l.] : Pato Lógico, 2021",1,2020 - 2.o Sem.,9 - 11 anos,Literatura,José Jorge Letria , André Letria
2,Tempo,André Letria,"Porto Salvo : Pato lógico, 2020",1,2020 - 2.o Sem.,9 - 11 anos,Literatura,André Letria,
3,Serei sempre o teu abrigo,Valter Hugo Mãe,"Porto : Porto Ed., 2020",1,2020 - 2.o Sem.,9 - 11 anos,Literatura,Valter Hugo Mãe,
4,Capitão Rosalie,Timothée de Fombelle ; il. Isabelle Arsenault ; trad. Dora Batalim e José Alfaro,"Lisboa : Orfeu Negro, 2020",1,2020 - 2.o Sem.,9 - 11 anos,Literatura,Timothée de Fombelle , il. Isabelle Arsenault ; trad. Dora Batalim e José Alfaro
5,"O leão sem juba, o elefante sem tromba e a casa sem telhado","Rita Taborda Duarte, Rachel Caiano","Alfragide : Caminho, 2020",1,2020 - 2.o Sem.,9 - 11 anos,Literatura,"Rita Taborda Duarte, Rachel Caiano",
6,O que vamos construir : planos para um futuro comum,Oliver Jeffers ; trad. Rui Lopes,"Lisboa : Orfeu Negro, 2020",1,2020 - 2.o Sem.,9 - 11 anos,Literatura,Oliver Jeffers , trad. Rui Lopes
7,Eu vou ser,José Jorge Letria ; André Letria,"[S.l.] : Pato Lógico, 2020",1,2020 - 2.o Sem.,9 - 11 anos,Literatura,José Jorge Letria , André Letria
8,Poemas e canções para todo o ano,"Inês Pupo, Gonçalo Pratas ; il. Cristina Sampaio","Lisboa : Livros Horizonte, 2020",1,2020 - 2.o Sem.,9 - 11 anos,Literatura,"Inês Pupo, Gonçalo Pratas ", il. Cristina Sampaio
9,És importante,Christian Robinson ; trad. João Berhan,"Lisboa : Orfeu Negro, 2020",1,2020 - 2.o Sem.,9 - 11 anos,Literatura,Christian Robinson , trad. João Berhan
