,title,author,publisher,res_page,PNLedition,age_recom,theme,1st_author,other_authors
0,Mais lengalengas,recolha e selec. Luísa Ducla Soares ; il. Sofia Castro,"Lisboa : Livros Horizonte, 2022",1,Antes 2017,6 - 8 anos,Literatura,recolha e selec. Luísa Ducla Soares , il. Sofia Castro
1,Frederico,Leo Lionni ; trad. Dora Isabel Batalim,"Matosinhos : Kalandraka, 2022",1,Antes 2017,6 - 8 anos,Literatura,Leo Lionni , trad. Dora Isabel Batalim
2,"Kiko, o dentinho de leite",Manuela Mota Ribeiro ; il. de Mafalda Sá,"[S.l.] : EBITDA, 2021",1,Antes 2017,6 - 8 anos,Literatura,Manuela Mota Ribeiro , il. de Mafalda Sá
3,Mais lengalengas,recolha e selec. Luísa Ducla Soares ; il. Sofia Castro,"Lisboa : Livros Horizonte, 2021",1,Antes 2017,6 - 8 anos,Literatura,recolha e selec. Luísa Ducla Soares , il. Sofia Castro
4,O dia em que os lápis desistiram,Drew Daywalt ; il. Oliver Jeffers ; trad. Rui Lopes,"Lisboa : Orfeu Negro, 2020",1,Antes 2017,6 - 8 anos,Literatura,Drew Daywalt , il. Oliver Jeffers ; trad. Rui Lopes
5,Eu espero...,Davide Cali e Serge Bloch ; trad. Miguel Gouveia,"[S.l.] : Bruaá, 2020",1,Antes 2017,6 - 8 anos,Literatura,Davide Cali e Serge Bloch , trad. Miguel Gouveia
6,Coração de Mãe,Isabel Minhós Martins ; il. Bernardo P. Carvalho,"Carcavelos : Planeta Tangerina, 2019",1,Antes 2017,6 - 8 anos,Literatura,Isabel Minhós Martins , il. Bernardo P. Carvalho
7,Mais lengalengas,recolha e selec. Luísa Ducla Soares ; il. Sofia Castro,"Lisboa : Livros Horizonte, 2019",1,Antes 2017,6 - 8 anos,Literatura,recolha e selec. Luísa Ducla Soares , il. Sofia Castro
8,Pê de Pai,Isabel Minhós Martins ; il. Bernardo P. Carvalho,"Carcavelos : Planeta Tangerina, 2019",1,Antes 2017,6 - 8 anos,Literatura,Isabel Minhós Martins , il. Bernardo P. Carvalho
9,Dez dedos dez segredos,Maria Alberta Menéres ; il. Connie Fischer ; mús. João Henrique,"Lisboa : Lisboa Ed., 2019",1,Antes 2017,6 - 8 anos,Literatura,Maria Alberta Menéres , il. Connie Fischer ; mús. João Henrique
10,Saudade : um conto para sete dias,texto Claudio Hochman ; il. João Vaz de Carvalho,"Lisboa : Livros Horizonte, 2019",1,Antes 2017,6 - 8 anos,Literatura,texto Claudio Hochman , il. João Vaz de Carvalho
11,A história do Pedrito Coelho,Beatrix Potter ; trad. Mafalda Acebey,"Porto : Porto Ed., 2019",1,Antes 2017,6 - 8 anos,Literatura,Beatrix Potter , trad. Mafalda Acebey
12,O rabo do rato,história contada por António Torrado ; il. Tânia Clímaco,"Queluz de Baixo : Soregra, 2018",1,Antes 2017,6 - 8 anos,Literatura,história contada por António Torrado , il. Tânia Clímaco
13,Quando a mãe era pequena,texto Joana Cabral ; il. Margarida Teixeira,"[Lisboa] : Máquina de Voar, 2016",1,Antes 2017,6 - 8 anos,Literatura,texto Joana Cabral , il. Margarida Teixeira
14,A que sabe a lua?,Michael Grejniec ; trad. Alexandre Honrado,"Matosinhos : Kalandraka, 2018",1,Antes 2017,6 - 8 anos,Literatura,Michael Grejniec , trad. Alexandre Honrado
15,Destrava línguas,sel. Luísa Ducla Soares ; il. Susana Oliveira,"Lisboa : Livros Horizonte, 2018",1,Antes 2017,6 - 8 anos,Literatura,sel. Luísa Ducla Soares , il. Susana Oliveira
16,Dentro de uma caixa,José Jorge Letria ; il. Ana Afonso,"Alfragide : Caminho, 2018",1,Antes 2017,6 - 8 anos,Literatura,José Jorge Letria , il. Ana Afonso
17,Há coisas assim... e outra história,António Torrado ; il. Raquel Pinheiro,"Alfragide : Asa II, 2018",1,Antes 2017,6 - 8 anos,Literatura,António Torrado , il. Raquel Pinheiro
18,A história do Pedrito Coelho,Beatrix Potter ; trad. Mafalda Acebey,"Porto : Porto Ed., 2018",1,Antes 2017,6 - 8 anos,Literatura,Beatrix Potter , trad. Mafalda Acebey
19,A vila das cores,Bruno Magina ; il. Carolina Figueira ; pref. Paulo Côrte-Real,"[S.l.] : Magina Contos, 2018",1,Antes 2017,6 - 8 anos,Literatura,Bruno Magina , il. Carolina Figueira ; pref. Paulo Côrte-Real
20,Frederico,Leo Lionni ; trad. Dora Isabel Batalim,"Matosinhos : Kalandraka, reimp. 2018",2,Antes 2017,6 - 8 anos,Literatura,Leo Lionni , trad. Dora Isabel Batalim
21,A oficina do Pai Natal,"Cristina Quental, Mariana Magalhães ; il. Sandra Serra","[S.l.] : Gailivro, 2018",2,Antes 2017,6 - 8 anos,Literatura,"Cristina Quental, Mariana Magalhães ", il. Sandra Serra
22,Rato do campo e rato da cidade ; João grão de milho,Alice Vieira ; il. de Danuta Wojciechwska,"Alfragide : Caminho, imp. 2017",2,Antes 2017,6 - 8 anos,Literatura,Alice Vieira , il. de Danuta Wojciechwska
23,Livro com cheiro a chocolate,Alice Vieira ; il. de Daniela Gonçalves,"Alfragide : Texto, 2017",2,Antes 2017,6 - 8 anos,Literatura,Alice Vieira , il. de Daniela Gonçalves
24,O elefante cor-de-rosa,Luísa Dacosta ; il. Armando Alves,"Alfragide : Asa II, 2017",2,Antes 2017,6 - 8 anos,Literatura,Luísa Dacosta , il. Armando Alves
25,"Não acordes o urso, por favor!","Steve Smallman, Caroline Pedler ; trad. Ana Laranjeiro","Estoril  : Minutos de Leitura, 2017",2,Antes 2017,6 - 8 anos,Literatura,"Steve Smallman, Caroline Pedler ", trad. Ana Laranjeiro
26,Abecedário maluco,Luísa Ducla Soares ; il. Maria Neradova,"Porto : Porto Ed., 2017",2,Antes 2017,6 - 8 anos,Literatura,Luísa Ducla Soares , il. Maria Neradova
27,Destrava línguas,sel. Luísa Ducla Soares ; il. Susana Oliveira,"Lisboa : Livros Horizonte, 2017",2,Antes 2017,6 - 8 anos,Literatura,sel. Luísa Ducla Soares , il. Susana Oliveira
28,A flor vai ver o mar,Alves Redol ; il. de José Miguel Ribeiro,"Alfragide : Caminho, imp. 2017",2,Antes 2017,6 - 8 anos,Literatura,Alves Redol , il. de José Miguel Ribeiro
29,O nabo gigante,António Mota ; il. Catarina Correia Marques,"Alfragide : Asa II, 2017",2,Antes 2017,6 - 8 anos,Literatura,António Mota , il. Catarina Correia Marques
30,O dia em que os lápis desistiram,Drew Daywalt ; il. Oliver Jeffers ; trad. Rui Lopes,"Lisboa : Orfeu Negro, 2017",2,Antes 2017,6 - 8 anos,Literatura,Drew Daywalt , il. Oliver Jeffers ; trad. Rui Lopes
31,O coelhinho branco,adapt. de Xosé Ballesteros ; il de Óscar Villan ; trad. de Alexandre Honrado,"Matosinhos : Kalandraka, 2017",2,Antes 2017,6 - 8 anos,Literatura,adapt. de Xosé Ballesteros , il de Óscar Villan ; trad. de Alexandre Honrado
32,"O menino da lua ; Corre, corre, cabacinha",Alice Vieira ; il. de Maria João Lopes,"Alfragide : Caminho, imp. 2017",2,Antes 2017,6 - 8 anos,Literatura,Alice Vieira , il. de Maria João Lopes
33,Dez dedos dez segredos,Maria Alberta Menéres ; il. Connie Fischer ; mús. João Henrique,"Lisboa : Lisboa Ed., 2017",2,Antes 2017,6 - 8 anos,Literatura,Maria Alberta Menéres , il. Connie Fischer ; mús. João Henrique
34,A princesa da chuva,Luísa Ducla Soares ; il. de Ana Afonso,"Porto : Porto Ed., 2017",2,Antes 2017,6 - 8 anos,Literatura,Luísa Ducla Soares , il. de Ana Afonso
