,title,author,publisher,res_page,PNLedition,age_recom,theme,1st_author,other_authors
0,"Como ver coisas invisíveis : observações, experiências e perguntas de artistas, cientistas e outras pessoas com imaginação",Isabel Minhós Martins ; il. Madalena Matoso,"Carcavelos : Planeta Tangerina, 2021",1,2021 - 2.o Sem.,12 - 14 anos,Literatura,Isabel Minhós Martins , il. Madalena Matoso
1,A menina do mar,Sophia de Mello Breyner Andresen ; il. Sarah Affonso,"Porto : Porto Ed., 2021",1,2021 - 2.o Sem.,12 - 14 anos,Literatura,Sophia de Mello Breyner Andresen , il. Sarah Affonso
2,Esteiros,Soeiro Pereira Gomes,"Lisboa : Quetzal, 2021",1,2021 - 2.o Sem.,12 - 14 anos,Literatura,Soeiro Pereira Gomes,
3,O mundo em que vivi,Ilse Losa,"Porto : Porto Ed., 2021",1,2021 - 2.o Sem.,12 - 14 anos,Literatura,Ilse Losa,
4,Arsène Lupin : a agulha oca,Maurice Leblanc ; trad. Ivan Figueiras,"Porto : Porto Ed., 2021",1,2021 - 2.o Sem.,12 - 14 anos,Literatura,Maurice Leblanc , trad. Ivan Figueiras
5,Dois anos de férias,Júlio Verne ; trad. de Cristiana Neves,"Porto : Porto Ed., 2021",1,2021 - 2.o Sem.,12 - 14 anos,Literatura,Júlio Verne , trad. de Cristiana Neves
6,O cão dos olhos dourados,João de Melo ; il. Célia Fernandes,"Alfragide : Dom Quixote, 2021",1,2021 - 2.o Sem.,12 - 14 anos,Literatura,João de Melo , il. Célia Fernandes
7,Raízes negras : pessoas negras admiráveis que lutaram pelos seus sonhos e mudaram o mundo,Lúcia Vicente ; il. Gilda Barros,"Lisboa : Nuvem de Tinta, 2021",1,2021 - 2.o Sem.,12 - 14 anos,Literatura,Lúcia Vicente , il. Gilda Barros
8,Fatma,Conceição Dinis Tomé ; il. Mariana Rio,"Lisboa : APCC - Associação para a Promoção Cultural da Criança, 2021",1,2021 - 2.o Sem.,12 - 14 anos,Literatura,Conceição Dinis Tomé , il. Mariana Rio
9,O oposto de sempre : serias capaz de reviver o pior momento da tua vida para salvares a pessoa que amas?,Justin A. Reynolds ; trad. Cristina Carvalho,"Barcarena : Presença, 2021",1,2021 - 2.o Sem.,12 - 14 anos,Literatura,Justin A. Reynolds , trad. Cristina Carvalho
