,title,author,publisher,res_page,PNLedition,age_recom,theme,1st_author,other_authors
0,As piores crianças do mundo 2,David Walliams ; il. Tony Ross ; trad. Rita Amaral,"Porto : Porto Ed., 2022",1,2019 - 1.º Sem.,12 - 14 anos,Literatura,David Walliams , il. Tony Ross ; trad. Rita Amaral
1,Diário de Samuel Z,"Ana Maria Magalhães, Isabel Alçada ; il. Pedro Burgos","Lisboa : EMEL, 2020",1,2019 - 1.º Sem.,12 - 14 anos,Literatura,"Ana Maria Magalhães, Isabel Alçada ", il. Pedro Burgos
2,Contos gregos,António Sérgio ; il. Aurélie de Sousa,"Porto : Porto Ed., 2020",1,2019 - 1.º Sem.,12 - 14 anos,Literatura,António Sérgio , il. Aurélie de Sousa
3,As aventuras de Pinóquio,Carlo Collodi ; trad. rev. e actualiz. de José Colaço Barreiros ; il. Carlos J. Campos,"Porto : Porto Ed., 2020",1,2019 - 1.º Sem.,12 - 14 anos,Literatura,Carlo Collodi , trad. rev. e actualiz. de José Colaço Barreiros ; il. Carlos J. Campos
4,O último a ficar de pé,Álvaro Magalhães ; il. Carlos J. Campos,"Porto : Porto Ed., 2019",1,2019 - 1.º Sem.,12 - 14 anos,Literatura,Álvaro Magalhães , il. Carlos J. Campos
5,Uma aventura no fundo do mar,Ana Maria Magalhães e Isabel Alçada ; il. de Arlindo Fagundes,"Alfragide : Caminho, 2019",1,2019 - 1.º Sem.,12 - 14 anos,Literatura,Ana Maria Magalhães e Isabel Alçada , il. de Arlindo Fagundes
6,Mariana : o urso-pardo sábio dos saltimbancos,Isabel Maria Fidalgo Mateus ; il. Cristina Borges Rocha,ISBN: 978-989-99758-3-5,1,2019 - 1.º Sem.,12 - 14 anos,Literatura,Isabel Maria Fidalgo Mateus , il. Cristina Borges Rocha
7,As aventuras de Robin dos Bosques,Roger Lancelyn Green ; trad. de Sara David Lopes,"Lisboa : Bertrand, 2019",1,2019 - 1.º Sem.,12 - 14 anos,Literatura,Roger Lancelyn Green , trad. de Sara David Lopes
8,Degelo,André Letria,"Porto Salvo : Pato lógico, 2019",1,2019 - 1.º Sem.,12 - 14 anos,Literatura,André Letria,
9,Impulso,André Letria,"Porto Salvo : Pato lógico, 2019",1,2019 - 1.º Sem.,12 - 14 anos,Literatura,André Letria,
10,A guerra dos mundos,H. G. Wells ; trad. do inglês por João Bernardo Paiva Boléo ; il. Henrique Alvim Corrêa,"Lisboa : Sextante, 2019",1,2019 - 1.º Sem.,12 - 14 anos,Literatura,H. G. Wells , trad. do inglês por João Bernardo Paiva Boléo ; il. Henrique Alvim Corrêa
11,Coração,"Edmundo de Amicis ; trad.J. Teixeira de Aguilar ; il. A. Ferraguti, E. Nardi, A. G. Sartoriu","Porto : Sextante, 2019",1,2019 - 1.º Sem.,12 - 14 anos,Literatura,Edmundo de Amicis ," trad.J. Teixeira de Aguilar ; il. A. Ferraguti, E. Nardi, A. G. Sartoriu"
12,William Wenton e o agente orbulator,Bobbie Peers ; trad. do norueguês por João Reis,"Porto : Porto Ed., 2019",1,2019 - 1.º Sem.,12 - 14 anos,Literatura,Bobbie Peers , trad. do norueguês por João Reis
13,A pena do falcão,Trudi Trueit ; il. Scott Plumbe,"Alfragide : Asa II, 2019",1,2019 - 1.º Sem.,12 - 14 anos,Literatura,Trudi Trueit , il. Scott Plumbe
14,Coimbra,Catarina Sobral,"[S.l.] : Pato Lógico, 2019",1,2019 - 1.º Sem.,12 - 14 anos,Literatura,Catarina Sobral,
15,Orlando e o tambor mágico,texto e il. Alexandra Lucas Coelho,"Lisboa : Alfaguara, 2019",1,2019 - 1.º Sem.,12 - 14 anos,Literatura,texto e il. Alexandra Lucas Coelho,
16,Quito,Roger Ycaza ; trad. Sónia Graça,"[S.l.] : Pato Lógico, 2019",1,2019 - 1.º Sem.,12 - 14 anos,Literatura,Roger Ycaza , trad. Sónia Graça
17,Aqui é um bom lugar,"Ana Pessoa, Joana Estrela","Carcavelos : Planeta Tangerina, 2019",1,2019 - 1.º Sem.,12 - 14 anos,Literatura,"Ana Pessoa, Joana Estrela",
