,title,author,publisher,res_page,PNLedition,age_recom,theme,1st_author,other_authors
0,O paraíso são os outros,[texto] e il. Valter Hugo Mãe,"Porto : Porto Ed., 2020",1,2018 - 1.º Sem.,9 - 11 anos,Literatura,[texto] e il. Valter Hugo Mãe,
1,Contos maravilhosos,Hans Christian Andersen ; trad. João Reis,"Amadora : Fábula, 2019",1,2018 - 1.º Sem.,9 - 11 anos,Literatura,Hans Christian Andersen , trad. João Reis
2,Matilda,Roald Dahl ; il. Quentin Blake ; trad. Ana Lourenço,"Alfragide : Oficina do Livro, 2019",1,2018 - 1.º Sem.,9 - 11 anos,Literatura,Roald Dahl , il. Quentin Blake ; trad. Ana Lourenço
3,A guerra,José Jorge Letria ; il. André Letria,"Lisboa : Pato Lógico, 2018",1,2018 - 1.º Sem.,9 - 11 anos,Literatura,José Jorge Letria , il. André Letria
4,Uma princesinha,Frances Hodgson Burnett ; trad. Rita Carvalho e Guerra ; il. Reginald Birch,ISBN: 978-989-641-813-7,1,2018 - 1.º Sem.,9 - 11 anos,Literatura,Frances Hodgson Burnett , trad. Rita Carvalho e Guerra ; il. Reginald Birch
5,"Atlas das viagens e dos exploradores : as viagens de monges, naturalistas e outros viajantes de todos os tempos e lugares","Isabel Minhós Martins, Bernardo P. Carvalho","Carcavelos : Planeta Tangerina, 2018",1,2018 - 1.º Sem.,9 - 11 anos,Literatura,"Isabel Minhós Martins, Bernardo P. Carvalho",
6,O museu do pensamento,Joana Bértholo ; il. Pedro Semeano & Susana Diniz,"Alfragide : Caminho, 2018",1,2018 - 1.º Sem.,9 - 11 anos,Literatura,Joana Bértholo , il. Pedro Semeano & Susana Diniz
7,Estás tão crescida,texto e il. António Jorge Gonçalves,"Lisboa : Pato Lógico, 2018",1,2018 - 1.º Sem.,9 - 11 anos,Literatura,texto e il. António Jorge Gonçalves,
8,Horizonte,Carolina Celas,"Lisboa : Orfeu Negro, 2018",1,2018 - 1.º Sem.,9 - 11 anos,Literatura,Carolina Celas,
9,O paraíso são os outros,[texto] e il. Valter Hugo Mãe,"Porto : Porto Ed., 2018",1,2018 - 1.º Sem.,9 - 11 anos,Literatura,[texto] e il. Valter Hugo Mãe,
10,A fada dos dentes,Luísa Ducla Soares ; il. Ana Valente,"Porto : Porto Ed., imp. 2018",1,2018 - 1.º Sem.,9 - 11 anos,Literatura,Luísa Ducla Soares , il. Ana Valente
11,Os contrabandistas de cristais,Maria Francisca Macedo ; il. Sara Paz,"Amadora : Booksmile, imp. 2018",1,2018 - 1.º Sem.,9 - 11 anos,Literatura,Maria Francisca Macedo , il. Sara Paz
12,A história do Anjo Angelino,David Almond ; il. de Alex T. Smith ; trad. de Maria José Figueiredo,"Barcarena : Presença, 2018",1,2018 - 1.º Sem.,9 - 11 anos,Literatura,David Almond , il. de Alex T. Smith ; trad. de Maria José Figueiredo
13,Vinte fábulas de La Fontaine,José Jorge Letria ; il. Cátia Vidinhas,"Amadora : Fábula, 2018",1,2018 - 1.º Sem.,9 - 11 anos,Literatura,José Jorge Letria , il. Cátia Vidinhas
14,A oliveira mágica,Celeste de Almeida Gonçalves ; il. Cristina Malaquias,"Coimbra : Mar da Palavras, 2018",1,2018 - 1.º Sem.,9 - 11 anos,Literatura,Celeste de Almeida Gonçalves , il. Cristina Malaquias
15,Perigo na floresta,Maria Francisca Macedo ; il. Sara Paz,"Amadora : Booksmile, 2018",1,2018 - 1.º Sem.,9 - 11 anos,Literatura,Maria Francisca Macedo , il. Sara Paz
16,O rapaz que tinha zero em matemática,Luísa Ducla Soares ; il. Ana Fonseca,"Queluz de Baixo : Soregra, D.L. 2018",1,2018 - 1.º Sem.,9 - 11 anos,Literatura,Luísa Ducla Soares , il. Ana Fonseca
17,A barragem assombrada,Maria Francisca Macedo ; il. Sara Paz,"Amadora : Booksmile, 2018",1,2018 - 1.º Sem.,9 - 11 anos,Literatura,Maria Francisca Macedo , il. Sara Paz
18,O coelhinho Afonso e outras histórias,Luísa Ducla Soares ; il. Ana Moreira,"Porto : Porto Ed., 2017",1,2018 - 1.º Sem.,9 - 11 anos,Literatura,Luísa Ducla Soares , il. Ana Moreira
19,Sr. Pivete,David Walliams ; il. por Quentin Blake ; trad. de Rita Amaral,"Porto : Porto Ed., 2017",1,2018 - 1.º Sem.,9 - 11 anos,Literatura,David Walliams , il. por Quentin Blake ; trad. de Rita Amaral
20,Há dias assim,Margarida Fonseca Santos ; il. Carla Nazareth,"Amadora : Fábula, 2017",2,2018 - 1.º Sem.,9 - 11 anos,Literatura,Margarida Fonseca Santos , il. Carla Nazareth
21,Mimi e Rogério e o cavaleiro malvado,Valerie Thomas ; il. Korky Paul ; trad. Helena Rafael,"Lisboa : Gradiva, 2017",2,2018 - 1.º Sem.,9 - 11 anos,Literatura,Valerie Thomas , il. Korky Paul ; trad. Helena Rafael
22,Os pequenos seres da floresta,Maria da Conceição Vicente ; il. Sara Coutinho,"Porto : Trinta por uma Linha, 2017",2,2018 - 1.º Sem.,9 - 11 anos,Literatura,Maria da Conceição Vicente , il. Sara Coutinho
23,A Bisa faz anos,Maria Teresa Maia Gonzalez ; il. Inês do Carmo,"Prior Velho : Paulinas, 2017",2,2018 - 1.º Sem.,9 - 11 anos,Literatura,Maria Teresa Maia Gonzalez , il. Inês do Carmo
24,A janela de Kenny,texto e il. Maurice Sendak ; trad. Carla Maia de Almeida,"Lisboa : Kalandraka, 2017",2,2018 - 1.º Sem.,9 - 11 anos,Literatura,texto e il. Maurice Sendak , trad. Carla Maia de Almeida
25,As aventuras de Pinóquio,Carlo Collodi ; trad. José Lima,"Amadora : Fábula, 2017",2,2018 - 1.º Sem.,9 - 11 anos,Literatura,Carlo Collodi , trad. José Lima
26,Amigos dos meus amigos...,Luísa Azevedo ; il. Raquel Leitão,"Porto : Afrontamento, 2017",2,2018 - 1.º Sem.,9 - 11 anos,Literatura,Luísa Azevedo , il. Raquel Leitão
27,Quero crescer!,Luísa Ducla Soares ; il. Rodrigo Folgueira,"Porto : Porto Ed., 2017",2,2018 - 1.º Sem.,9 - 11 anos,Literatura,Luísa Ducla Soares , il. Rodrigo Folgueira
28,Os livros que gostam de contar histórias,Fátima Éffe & Zé-Luís ; il. Marc,"[S.l.] : Amoreirazul, 2017",2,2018 - 1.º Sem.,9 - 11 anos,Literatura,Fátima Éffe & Zé-Luís , il. Marc
29,Num tempo que já lá vai,Rosário Alçada Araújo ; il. Patrícia Furtado,"Alfragide : Gailivro, 2017",2,2018 - 1.º Sem.,9 - 11 anos,Literatura,Rosário Alçada Araújo , il. Patrícia Furtado
30,Maria Trigueira,Ivone Gonçalves,"Matosinhos : Kalandraka, 2017",2,2018 - 1.º Sem.,9 - 11 anos,Literatura,Ivone Gonçalves,
31,Contos escolhidos,Oscar Wilde ; trad. e pref. Carla Maia de Almeida,"Amadora : Fábula, 2017",2,2018 - 1.º Sem.,9 - 11 anos,Literatura,Oscar Wilde , trad. e pref. Carla Maia de Almeida
32,A rainha do norte,texto e il. de Joana Estrela,"Carcavelos : Planeta Tangerina, 2017",2,2018 - 1.º Sem.,9 - 11 anos,Literatura,texto e il. de Joana Estrela,
33,O veleiro de cristal,José Mauro de Vasconcelos,"Amadora : Fábula, 2017",2,2018 - 1.º Sem.,9 - 11 anos,Literatura,José Mauro de Vasconcelos,
34,Joanica-Puff,A. A. Milne ; il. E. H. Shepard ; trad. Helena Briga Nogueira,ISBN: 978-989-641-700-0,2,2018 - 1.º Sem.,9 - 11 anos,Literatura,A. A. Milne , il. E. H. Shepard ; trad. Helena Briga Nogueira
35,Seis histórias tradicionais portuguesas,José Viale Moutinho ; il. Helder Teixeira Peleja,"Amadora : Fábula, 2017",2,2018 - 1.º Sem.,9 - 11 anos,Literatura,José Viale Moutinho , il. Helder Teixeira Peleja
36,Contos maravilhosos,Hans Christian Andersen ; trad. João Reis,"Amadora : Fábula, 2017",2,2018 - 1.º Sem.,9 - 11 anos,Literatura,Hans Christian Andersen , trad. João Reis
37,A história da Gata das Botas,Beatrix Potter ; il. Quentin Blake ; trad. Paula Neves,"Alfragide : Asa II, 2017",2,2018 - 1.º Sem.,9 - 11 anos,Literatura,Beatrix Potter , il. Quentin Blake ; trad. Paula Neves
